l,size,n_eis_members,persistent_pairs,breaking_pairs,min_break_prime,pair_classes,conductors,members
5,143,143,10153,0,None,"{'EIS': 10153}","[11, 38, 50, 57, 58, 66, 75, 110, 118, 123, 150, 155, 158, 175, 186, 203, 246, 286, 302, 325, '...+118 more']","['11a', '38b', '50b', '57c', '58b', '66c', '75c', '110a', '118b', '123a', '150a', '155a', '158c', '175a', '186b', '203a', '246b', '286d', '302a', '325e', '...+123 more']"
5,64,0,2016,0,None,"{'EIS': 0, 'P3': 1933, 'P2': 78, 'P1': 5}","[99, 171, 198, 225, 342, 369, 450, 522, 558, 738, 990, 1062, 1098, 1278, 1395, 1422, 1575, 1611, 1710, 1818, '...+40 more']","['99d', '171c', '198e', '225d', '342g', '369b', '450c', '450d', '522f', '558d', '738b', '990d', '1062d', '1098e', '1278c', '1395c', '1422b', '1575k', '1611h', '1710c', '...+44 more']"
5,53,0,1378,0,None,"{'EIS': 0, 'P3': 1243, 'P2': 122, 'P1': 13}","[50, 75, 150, 175, 275, 325, 550, 775, 950, 1050, 1425, 1450, 1650, 1950, 1975, 2175, 2350, 2550, 2850, 2950, '...+22 more']","['50a', '75a', '150b', '175c', '275b', '325d', '550b', '550f', '775c', '950a', '1050d', '1425b', '1450a', '1650b', '1650c', '1650d', '1950b', '1975d', '2175f', '2350e', '...+33 more']"
5,37,0,666,0,None,"{'EIS': 0, 'P3': 643, 'P2': 21, 'P1': 2}","[176, 304, 400, 464, 528, 880, 912, 944, 1200, 1264, 1488, 1968, 2288, 2416, 2480, 2800, 2928, 3248, 3408, 4400, '...+15 more']","['176b', '304a', '400b', '464c', '528f', '880g', '912f', '944h', '1200k', '1200m', '1264e', '1488h', '1968h', '1968j', '2288e', '2416b', '2480m', '2800y', '2928j', '3248g', '...+17 more']"
5,22,0,231,0,None,"{'EIS': 0, 'P2': 53, 'P1': 15, 'P3': 163}","[225, 450, 1575, 2475, 2925, 3150, 4275, 4950, 5850, 6525, 6975, 7650, 8550, 9225]","['225e', '450a', '450b', '1575i', '2475h', '2925r', '3150bp', '4275i', '4950bf', '4950bh', '4950bo', '4950bq', '4950br', '5850bw', '6525m', '6975m', '7650cp', '8550y', '8550z', '8550bl', '...+2 more']"
5,20,0,190,0,None,"{'EIS': 0, 'P3': 177, 'P2': 12, 'P1': 1}","[539, 1225, 1421, 1862, 2450, 2793, 2842, 3234, 3675, 4018, 4655, 5390, 5782, 6027, 7350, 7595, 7742, 8085, 9114]","['539d', '1225j', '1421e', '1862f', '2450v', '2793f', '2842e', '3234s', '3675f', '4018n', '4655k', '5390ba', '5782h', '6027c', '7350bt', '7350cc', '7595c', '7742l', '8085j', '9114r']"
5,17,0,136,0,None,"{'EIS': 0, 'P3': 128, 'P2': 6, 'P1': 2}","[704, 1216, 1600, 1856, 2112, 3520, 3648, 3776, 4800, 5056, 5952, 7872, 9152, 9664, 9920]","['704a', '1216f', '1600c', '1856a', '2112d', '3520b', '3648f', '3776f', '4800e', '4800l', '5056b', '5952f', '7872f', '7872h', '9152a', '9664b', '9920h']"
5,17,0,136,0,None,"{'EIS': 0, 'P3': 128, 'P2': 6, 'P1': 2}","[704, 1216, 1600, 1856, 2112, 3520, 3648, 3776, 4800, 5056, 5952, 7872, 9152, 9664, 9920]","['704k', '1216j', '1600q', '1856l', '2112bd', '3520y', '3648be', '3776m', '4800cg', '4800cl', '5056r', '5952ba', '7872bf', '7872bj', '9152ba', '9664g', '9920s']"
5,14,0,91,0,None,"{'EIS': 0, 'P1': 6, 'P3': 83, 'P2': 2}","[1584, 2736, 3600, 4176, 4464, 5904, 7920, 8496, 8784]","['1584p', '1584s', '2736s', '2736x', '3600bi', '3600bj', '3600bm', '4176bc', '4464s', '5904l', '5904o', '7920bd', '8496o', '8784v']"
5,10,0,45,0,None,"{'EIS': 0, 'P2': 11, 'P3': 33, 'P1': 1}","[121, 726, 1210, 3146, 4598, 6050, 6897, 7018, 9075]","['121d', '726e', '1210g', '3146c', '4598k', '6050g', '6050n', '6897g', '7018b', '9075n']"
5,10,0,45,0,None,"{'EIS': 0, 'P2': 12, 'P1': 4, 'P3': 29}","[400, 1200, 2800, 4400, 5200, 7600, 8400]","['400c', '1200q', '1200r', '2800be', '4400m', '4400n', '4400w', '5200bf', '7600p', '8400ct']"
5,8,0,28,0,None,"{'EIS': 0, 'P2': 8, 'P3': 20}","[20, 140, 460, 740, 1340, 2740, 3140, 9940]","['20a', '140b', '460b', '740a', '1340b', '2740a', '3140c', '9940a']"
5,8,0,28,0,None,"{'EIS': 0, 'P2': 7, 'P3': 21}","[35, 1155, 1785, 2415, 3885, 4305, 6195, 6405]","['35a', '1155d', '1785d', '2415b', '3885b', '4305a', '6195a', '6405b']"
5,8,0,28,0,None,"{'EIS': 0, 'P2': 7, 'P3': 18, 'P1': 3}","[108, 2700, 3132, 6372, 6588]","['108a', '2700g', '3132a', '3132b', '6372a', '6372f', '6588e', '6588f']"
5,8,0,28,0,None,"{'EIS': 0, 'P2': 10, 'P3': 17, 'P1': 1}","[338, 1014, 2366, 3549, 4225, 7098, 7943]","['338d', '1014c', '2366h', '3549e', '4225f', '7098o', '7098p', '7943e']"
5,8,0,28,0,None,"{'EIS': 0, 'P2': 10, 'P3': 17, 'P1': 1}","[338, 1014, 2366, 3549, 4225, 7098, 7943]","['338e', '1014g', '2366n', '3549b', '4225g', '7098y', '7098z', '7943d']"
5,7,0,21,0,None,"{'EIS': 0, 'P2': 6, 'P3': 15}","[30, 930, 1110, 1290, 1590, 1770, 4710]","['30a', '930f', '1110e', '1290c', '1590g', '1770c', '4710f']"
5,7,0,21,0,None,"{'EIS': 0, 'P2': 6, 'P3': 15}","[40, 920, 2440, 2680, 6520, 7160, 7880]","['40a', '920a', '2440c', '2680a', '6520a', '7160b', '7880a']"
5,7,0,21,0,None,"{'EIS': 0, 'P2': 10, 'P3': 11}","[135, 270, 1890, 2970, 4590, 5805, 6210]","['135a', '270b', '1890n', '2970q', '4590k', '5805b', '6210p']"
5,7,0,21,0,None,"{'EIS': 0, 'P2': 10, 'P3': 11}","[135, 270, 1890, 2970, 4590, 5805, 6210]","['135b', '270d', '1890b', '2970e', '4590e', '5805d', '6210i']"
5,7,0,21,0,None,"{'EIS': 0, 'P3': 18, 'P2': 3}","[214, 1605, 2675, 2782, 4494, 7062, 8239]","['214c', '1605c', '2675a', '2782b', '4494a', '7062b', '8239e']"
5,7,0,21,0,None,"{'EIS': 0, 'P3': 18, 'P2': 3}","[345, 1311, 1725, 2001, 2829, 5727, 6555]","['345a', '1311b', '1725c', '2001b', '2829b', '5727e', '6555a']"
5,7,0,21,0,None,"{'EIS': 0, 'P2': 2, 'P3': 19}","[1859, 3718, 4225, 6422, 8450, 9633, 9802]","['1859a', '3718a', '4225c', '6422b', '8450d', '9633p', '9802a']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[14, 182, 350, 742, 4634, 9422]","['14a', '182e', '350e', '742d', '4634b', '9422d']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 8, 'P1': 2}","[27, 675, 6507, 9693]","['27a', '675e', '6507a', '6507b', '9693c', '9693g']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 8, 'P1': 2}","[36, 900, 1044, 9756]","['36a', '900a', '1044a', '1044c', '9756c', '9756d']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P1': 1, 'P3': 9}","[37, 1406, 1850, 3922, 7918]","['37a', '1406d', '1406g', '1850i', '3922b', '7918c']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[42, 546, 714, 1050, 1806, 3486]","['42a', '546e', '714e', '1050l', '1806h', '3486g']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[54, 594, 702, 1242, 1350, 2862]","['54a', '594d', '702f', '1242g', '1350h', '2862e']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[54, 594, 702, 1242, 1350, 2862]","['54b', '594e', '702j', '1242i', '1350o', '2862f']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[56, 280, 1400, 3752, 5656, 6104]","['56b', '280b', '1400c', '3752i', '5656e', '6104c']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[70, 910, 1330, 2170, 6230, 6790]","['70a', '910f', '1330g', '2170i', '6230f', '6790c']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[84, 420, 924, 1092, 2100, 3108]","['84b', '420a', '924b', '1092b', '2100a', '3108a']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[88, 616, 2024, 2200, 2728, 9064]","['88a', '616b', '2024b', '2200c', '2728b', '9064b']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[90, 2790, 3330, 3870, 4770, 5310]","['90c', '2790ba', '3330v', '3870w', '4770ba', '5310p']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[150, 4650, 5550, 6450, 7950, 8850]","['150c', '4650w', '5550z', '6450ba', '7950bb', '8850w']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[216, 1080, 1512, 2808, 4968, 5400]","['216a', '1080b', '1512a', '2808a', '4968b', '5400e']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[216, 1080, 1512, 3672, 5400, 6696]","['216b', '1080d', '1512e', '3672d', '5400m', '6696g']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[216, 1080, 1512, 3672, 5400, 6696]","['216c', '1080i', '1512j', '3672j', '5400bc', '6696m']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[216, 1080, 1512, 2808, 4968, 5400]","['216d', '1080g', '1512h', '2808h', '4968p', '5400bd']"
5,6,0,15,0,None,"{'EIS': 0, 'P1': 7, 'P2': 8}","[225, 6975]","['225a', '225b', '6975a', '6975b', '6975c', '6975d']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 6, 'P3': 9}","[252, 1260, 2772, 3276, 6300, 9324]","['252b', '1260h', '2772f', '3276g', '6300g', '9324b']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[270, 1890, 2970, 3510, 4590, 8370]","['270a', '1890e', '2970g', '3510j', '4590g', '8370c']"
5,6,0,15,0,None,"{'EIS': 0, 'P2': 5, 'P3': 10}","[270, 1890, 2970, 3510, 4590, 8370]","['270c', '1890x', '2970bd', '3510x', '4590q', '8370p']"
5,6,0,15,0,None,"{'EIS': 0, 'P3': 14, 'P1': 1}","[408, 5576, 5848, 8024, 9656]","['408d', '5576f', '5848d', '8024f', '8024j', '9656a']"
5,6,0,15,0,None,"{'EIS': 0, 'P3': 11, 'P2': 3, 'P1': 1}","[483, 805, 4830, 6118, 8050]","['483a', '805a', '4830h', '6118a', '6118b', '8050a']"
