type,l,k,delta_E_bits
BRIDGE,11,2,132.827
BRIDGE,13,2,137.150
BRIDGE,7,2,126.280
BRIDGE,11,2,167.431
BRIDGE,11,2,158.068
BRIDGE,5,2,112.223
BRIDGE,13,2,148.998
BRIDGE,13,2,161.431
BRIDGE,7,2,97.941
BRIDGE,7,2,135.572
BRIDGE,13,2,141.717
BRIDGE,13,2,157.808
BRIDGE,11,2,167.431
BRIDGE,11,2,167.431
BRIDGE,5,2,159.184
BRIDGE,11,2,148.961
BRIDGE,13,2,132.480
BRIDGE,13,2,155.431
BRIDGE,11,2,146.479
BRIDGE,11,2,142.692
BRIDGE,11,2,137.296
BRIDGE,7,2,152.861
BRIDGE,13,2,158.011
BRIDGE,11,2,179.431
BRIDGE,13,2,164.007
BRIDGE,5,2,123.318
BRIDGE,11,2,167.431
BRIDGE,11,2,146.146
BRIDGE,11,2,151.561
BRIDGE,5,2,138.900
BRIDGE,11,2,145.775
BRIDGE,7,2,147.017
BRIDGE,5,2,165.319
BRIDGE,11,2,164.486
BRIDGE,13,2,151.384
BRIDGE,7,2,128.924
BRIDGE,11,2,163.791
BRIDGE,11,2,161.431
BRIDGE,13,2,152.751
BRIDGE,13,2,151.590
BRIDGE,13,2,142.601
BRIDGE,13,2,155.431
BRIDGE,13,2,143.282
BRIDGE,5,2,179.431
BRIDGE,11,2,149.431
BRIDGE,7,2,135.262
BRIDGE,13,2,167.431
BRIDGE,5,2,146.759
BRIDGE,13,2,151.987
BRIDGE,11,2,149.092
BRIDGE,7,2,126.579
BRIDGE,11,2,126.535
BRIDGE,13,2,139.186
BRIDGE,13,2,142.153
BRIDGE,5,2,136.407
BRIDGE,7,2,132.003
BRIDGE,5,2,128.380
BRIDGE,7,2,126.154
BRIDGE,5,2,150.705
BRIDGE,11,2,142.544
BRIDGE,11,2,114.978
BRIDGE,13,2,110.806
BRIDGE,7,2,143.487
BRIDGE,13,2,142.547
BRIDGE,11,2,142.311
BRIDGE,5,2,134.608
BRIDGE,5,2,153.479
BRIDGE,13,2,148.209
BRIDGE,5,2,110.422
BRIDGE,13,2,163.504
BRIDGE,5,2,101.056
BRIDGE,5,2,103.365
BRIDGE,5,2,115.797
BRIDGE,5,2,121.816
BRIDGE,13,2,151.373
BRIDGE,7,2,135.347
BRIDGE,7,2,129.232
BRIDGE,7,2,117.554
BRIDGE,13,2,158.673
BRIDGE,11,2,143.196
BRIDGE,13,2,132.883
BRIDGE,11,2,158.479
BRIDGE,5,2,159.456
BRIDGE,11,2,146.191
BRIDGE,5,2,142.072
BRIDGE,5,2,150.391
BRIDGE,11,2,141.898
BRIDGE,5,2,128.115
BRIDGE,7,2,143.717
BRIDGE,5,2,143.197
BRIDGE,5,2,125.744
BRIDGE,7,2,135.014
BRIDGE,11,2,142.910
BRIDGE,11,2,148.939
BRIDGE,7,2,143.589
BRIDGE,11,2,127.553
BRIDGE,5,2,137.116
BRIDGE,7,2,139.705
BRIDGE,13,2,136.437
BRIDGE,13,2,167.431
BRIDGE,11,2,161.431
BRIDGE,5,2,151.255
BRIDGE,5,2,117.588
BRIDGE,11,2,149.169
BRIDGE,11,2,167.431
BRIDGE,13,2,145.521
BRIDGE,11,2,157.739
BRIDGE,5,2,118.983
BRIDGE,11,2,163.997
BRIDGE,11,2,152.538
BRIDGE,5,2,112.148
BRIDGE,5,2,145.365
BRIDGE,11,2,140.285
BRIDGE,5,2,129.619
BRIDGE,13,2,150.756
BRIDGE,7,2,155.466
BRIDGE,11,2,167.431
BRIDGE,5,2,152.704
BRIDGE,11,2,158.603
BRIDGE,7,2,146.880
BRIDGE,5,2,138.266
BRIDGE,13,2,167.431
BRIDGE,7,2,147.286
BRIDGE,7,2,99.660
BRIDGE,13,2,163.373
BRIDGE,5,2,100.758
BRIDGE,7,2,170.792
BRIDGE,13,2,145.704
BRIDGE,13,2,125.373
BRIDGE,13,2,158.098
BRIDGE,13,2,151.678
BRIDGE,7,2,107.746
BRIDGE,13,2,147.631
BRIDGE,11,2,148.142
BRIDGE,13,2,136.297
BRIDGE,7,2,158.291
BRIDGE,5,2,133.793
BRIDGE,5,2,111.519
BRIDGE,7,2,146.371
BRIDGE,11,2,158.174
BRIDGE,7,2,149.812
BRIDGE,7,2,150.168
BRIDGE,11,2,139.811
BRIDGE,5,2,125.051
BRIDGE,13,2,137.568
BRIDGE,7,2,117.287
BRIDGE,7,2,129.543
BRIDGE,5,2,128.054
BRIDGE,5,2,136.529
BRIDGE,11,2,140.392
BRIDGE,13,2,142.831
BRIDGE,11,2,139.269
BRIDGE,11,2,130.334
BRIDGE,13,2,161.431
BRIDGE,7,2,131.429
BRIDGE,5,2,151.182
BRIDGE,5,2,106.785
BRIDGE,13,2,124.111
BRIDGE,11,2,145.957
BRIDGE,7,2,129.963
BRIDGE,11,2,158.239
BRIDGE,11,2,134.441
BRIDGE,11,2,161.431
BRIDGE,11,2,163.837
BRIDGE,5,2,141.719
BRIDGE,13,2,142.018
BRIDGE,5,2,148.245
BRIDGE,5,2,159.274
BRIDGE,5,2,142.495
BRIDGE,13,2,152.673
BRIDGE,11,2,152.376
BRIDGE,13,2,152.220
BRIDGE,7,2,125.761
BRIDGE,11,2,161.431
BRIDGE,7,2,144.097
BRIDGE,7,2,159.017
BRIDGE,13,2,152.432
BRIDGE,7,2,155.479
BRIDGE,5,2,118.064
BRIDGE,5,2,133.215
BRIDGE,7,2,152.213
BRIDGE,7,2,138.509
BRIDGE,5,2,132.505
BRIDGE,13,2,154.671
BRIDGE,11,2,134.031
BRIDGE,5,2,121.920
BRIDGE,5,2,124.803
BRIDGE,5,2,150.718
BRIDGE,13,2,167.431
BRIDGE,11,2,133.806
BRIDGE,7,2,117.610
BRIDGE,13,2,155.431
BRIDGE,11,2,154.275
BRIDGE,5,2,133.163
BRIDGE,5,2,129.832
BRIDGE,7,2,103.413
BRIDGE,7,2,114.322
BRIDGE,11,2,164.088
BRIDGE,5,2,130.150
BRIDGE,13,2,127.020
BRIDGE,13,2,148.657
BRIDGE,7,2,140.321
BRIDGE,7,2,135.096
BRIDGE,13,2,161.431
BRIDGE,5,2,126.063
BRIDGE,5,2,125.898
BRIDGE,7,2,126.617
BRIDGE,5,2,134.212
BRIDGE,5,2,120.537
BRIDGE,5,2,127.921
BRIDGE,5,2,144.093
BRIDGE,7,2,117.151
BRIDGE,13,2,142.021
BRIDGE,7,2,142.256
BRIDGE,7,2,115.811
