l,k,A_hub_meas,A_hub_pred,negative,in_band
5,143,-3131.73,-2840.36,1,1
5,64,-1375.32,-1245.35,1,1
5,53,-1107.15,-1024.98,1,1
5,37,-778.38,-701.54,1,1
5,22,-393.19,-400.31,1,1
5,20,-394.92,-359.88,1,1
5,17,-323.94,-299.23,1,1
5,17,-323.86,-299.23,1,1
5,14,-255.72,-240.58,1,1
5,10,-153.94,-159.72,1,1
5,10,-151.69,-159.72,1,1
5,8,-113.28,-119.29,1,1
5,8,-117.87,-119.29,1,1
5,8,-111.20,-119.29,1,1
5,8,-122.39,-119.29,1,1
5,8,-122.14,-119.29,1,1
5,7,-91.43,-101.08,1,1
5,7,-95.05,-101.08,1,1
5,7,-97.42,-101.08,1,1
5,7,-97.54,-101.08,1,1
5,7,-112.53,-101.08,1,1
5,7,-94.88,-101.08,1,1
5,7,-106.75,-101.08,1,1
5,6,-72.19,-80.86,1,1
5,6,-78.18,-80.86,1,1
5,6,-73.18,-80.86,1,1
5,6,-79.63,-80.86,1,1
5,6,-68.99,-80.86,1,1
5,6,-73.66,-80.86,1,1
5,6,-73.67,-80.86,1,1
5,6,-73.33,-80.86,1,1
5,6,-73.37,-80.86,1,1
5,6,-68.49,-80.86,1,1
5,6,-73.55,-80.86,1,1
5,6,-71.21,-80.86,1,1
5,6,-71.29,-80.86,1,1
5,6,-71.75,-80.86,1,1
5,6,-72.63,-80.86,1,1
5,6,-72.67,-80.86,1,1
5,6,-71.79,-80.86,1,1
5,6,-76.83,-80.86,1,1
5,6,-68.40,-80.86,1,1
5,6,-72.36,-80.86,1,1
5,6,-72.42,-80.86,1,1
5,6,-89.77,-80.86,1,1
5,6,-88.01,-80.86,1,1
5,6,-70.10,-80.86,1,1
5,6,-85.28,-80.86,1,1
5,5,-54.44,-60.65,1,1
5,5,-58.20,-60.65,1,1
5,5,-52.63,-60.65,1,1
5,5,-51.94,-60.65,1,1
5,5,-52.69,-60.65,1,1
5,5,-54.66,-60.65,1,1
5,5,-59.10,-60.65,1,1
5,5,-52.88,-60.65,1,1
5,5,-58.88,-60.65,1,1
5,5,-52.02,-60.65,1,1
5,5,-55.24,-60.65,1,1
5,5,-54.86,-60.65,1,1
5,5,-48.52,-60.65,1,1
5,5,-55.20,-60.65,1,1
5,5,-52.00,-60.65,1,1
5,5,-54.33,-60.65,1,1
5,5,-54.85,-60.65,1,1
5,5,-48.49,-60.65,1,0
5,5,-51.58,-60.65,1,1
5,5,-51.55,-60.65,1,1
5,5,-52.51,-60.65,1,1
5,5,-54.77,-60.65,1,1
5,5,-50.41,-60.65,1,1
5,5,-53.82,-60.65,1,1
5,5,-54.64,-60.65,1,1
5,5,-63.71,-60.65,1,1
5,5,-51.94,-60.65,1,1
5,5,-53.57,-60.65,1,1
5,5,-48.78,-60.65,1,1
5,5,-52.31,-60.65,1,1
5,5,-55.67,-60.65,1,1
5,5,-55.58,-60.65,1,1
5,5,-48.50,-60.65,1,0
5,5,-55.69,-60.65,1,1
5,5,-55.55,-60.65,1,1
5,5,-55.30,-60.65,1,1
5,5,-50.85,-60.65,1,1
5,5,-53.15,-60.65,1,1
5,5,-51.34,-60.65,1,1
5,5,-53.09,-60.65,1,1
5,5,-53.13,-60.65,1,1
5,5,-48.47,-60.65,1,0
5,5,-56.19,-60.65,1,1
5,5,-56.04,-60.65,1,1
5,5,-61.66,-60.65,1,1
5,5,-52.46,-60.65,1,1
5,5,-50.00,-60.65,1,1
5,5,-49.13,-60.65,1,1
5,5,-51.11,-60.65,1,1
5,5,-62.12,-60.65,1,1
5,5,-48.24,-60.65,1,0
5,5,-52.62,-60.65,1,1
5,5,-53.88,-60.65,1,1
5,5,-54.03,-60.65,1,1
5,5,-53.50,-60.65,1,1
5,5,-53.51,-60.65,1,1
5,5,-51.75,-60.65,1,1
5,5,-51.70,-60.65,1,1
5,5,-65.83,-60.65,1,1
5,5,-52.66,-60.65,1,1
5,5,-61.68,-60.65,1,1
5,5,-67.06,-60.65,1,1
5,5,-66.64,-60.65,1,1
5,5,-54.46,-60.65,1,1
5,5,-54.96,-60.65,1,1
5,5,-54.68,-60.65,1,1
5,4,-35.18,-40.43,1,1
5,4,-32.33,-40.43,1,0
5,4,-33.19,-40.43,1,1
5,4,-33.77,-40.43,1,1
5,4,-34.30,-40.43,1,1
5,4,-33.35,-40.43,1,1
5,4,-32.01,-40.43,1,0
5,4,-32.48,-40.43,1,1
5,4,-32.32,-40.43,1,0
5,4,-34.41,-40.43,1,1
5,4,-36.40,-40.43,1,1
5,4,-35.55,-40.43,1,1
5,4,-32.63,-40.43,1,1
5,4,-32.53,-40.43,1,1
5,4,-32.06,-40.43,1,0
5,4,-31.68,-40.43,1,0
