lmfdb_label,Clabel,conductor,ainvs
11.a1,11a2,11,"[0, -1, 1, -7820, -263580]"
11.a2,11a1,11,"[0, -1, 1, -10, -20]"
11.a3,11a3,11,"[0, -1, 1, 0, 0]"
14.a1,14a5,14,"[1, 0, 1, -2731, -55146]"
14.a2,14a3,14,"[1, 0, 1, -171, -874]"
14.a3,14a2,14,"[1, 0, 1, -36, -70]"
14.a4,14a6,14,"[1, 0, 1, -11, 12]"
14.a5,14a4,14,"[1, 0, 1, -1, 0]"
14.a6,14a1,14,"[1, 0, 1, 4, -6]"
15.a1,15a5,15,"[1, 1, 1, -2160, -39540]"
15.a2,15a2,15,"[1, 1, 1, -135, -660]"
15.a3,15a6,15,"[1, 1, 1, -110, -880]"
15.a4,15a7,15,"[1, 1, 1, -80, 242]"
15.a5,15a1,15,"[1, 1, 1, -10, -10]"
15.a6,15a3,15,"[1, 1, 1, -5, 2]"
15.a7,15a8,15,"[1, 1, 1, 0, 0]"
15.a8,15a4,15,"[1, 1, 1, 35, -28]"
17.a1,17a3,17,"[1, -1, 1, -91, -310]"
17.a2,17a2,17,"[1, -1, 1, -6, -4]"
17.a3,17a1,17,"[1, -1, 1, -1, -14]"
17.a4,17a4,17,"[1, -1, 1, -1, 0]"
19.a1,19a2,19,"[0, 1, 1, -769, -8470]"
19.a2,19a1,19,"[0, 1, 1, -9, -15]"
19.a3,19a3,19,"[0, 1, 1, 1, 0]"
20.a1,20a4,20,"[0, 1, 0, -41, -116]"
20.a2,20a3,20,"[0, 1, 0, -36, -140]"
20.a3,20a2,20,"[0, 1, 0, -1, 0]"
20.a4,20a1,20,"[0, 1, 0, 4, 4]"
21.a1,21a5,21,"[1, 0, 0, -784, -8515]"
21.a2,21a2,21,"[1, 0, 0, -49, -136]"
21.a3,21a3,21,"[1, 0, 0, -39, 90]"
21.a4,21a6,21,"[1, 0, 0, -34, -217]"
21.a5,21a1,21,"[1, 0, 0, -4, -1]"
21.a6,21a4,21,"[1, 0, 0, 1, 0]"
24.a1,24a5,24,"[0, -1, 0, -384, -2772]"
24.a2,24a3,24,"[0, -1, 0, -64, 220]"
24.a3,24a2,24,"[0, -1, 0, -24, -36]"
24.a4,24a1,24,"[0, -1, 0, -4, 4]"
24.a5,24a4,24,"[0, -1, 0, 1, 0]"
24.a6,24a6,24,"[0, -1, 0, 16, -180]"
26.a1,26a2,26,"[1, 0, 1, -460, -3830]"
26.a2,26a1,26,"[1, 0, 1, -5, -8]"
26.a3,26a3,26,"[1, 0, 1, 0, 0]"
26.b1,26b2,26,"[1, -1, 1, -213, -1257]"
26.b2,26b1,26,"[1, -1, 1, -3, 3]"
27.a1,27a2,27,"[0, 0, 1, -270, -1708]"
27.a2,27a4,27,"[0, 0, 1, -30, 63]"
27.a3,27a1,27,"[0, 0, 1, 0, -7]"
27.a4,27a3,27,"[0, 0, 1, 0, 0]"
30.a1,30a7,30,"[1, 0, 1, -5334, -150368]"
30.a2,30a8,30,"[1, 0, 1, -454, -544]"
30.a3,30a6,30,"[1, 0, 1, -334, -2368]"
30.a4,30a5,30,"[1, 0, 1, -289, 1862]"
30.a5,30a4,30,"[1, 0, 1, -69, -194]"
30.a6,30a2,30,"[1, 0, 1, -19, 26]"
30.a7,30a3,30,"[1, 0, 1, -14, -64]"
30.a8,30a1,30,"[1, 0, 1, 1, 2]"
32.a1,32a3,32,"[0, 0, 0, -11, -14]"
32.a2,32a4,32,"[0, 0, 0, -11, 14]"
32.a3,32a2,32,"[0, 0, 0, -1, 0]"
32.a4,32a1,32,"[0, 0, 0, 4, 0]"
33.a1,33a3,33,"[1, 1, 0, -146, 621]"
33.a2,33a1,33,"[1, 1, 0, -11, 0]"
33.a3,33a2,33,"[1, 1, 0, -6, -9]"
33.a4,33a4,33,"[1, 1, 0, 44, 55]"
34.a1,34a4,34,"[1, 0, 0, -113, -329]"
34.a2,34a3,34,"[1, 0, 0, -103, -411]"
34.a3,34a2,34,"[1, 0, 0, -43, 105]"
34.a4,34a1,34,"[1, 0, 0, -3, 1]"
35.a1,35a2,35,"[0, 1, 1, -131, -650]"
35.a2,35a3,35,"[0, 1, 1, -1, 0]"
35.a3,35a1,35,"[0, 1, 1, 9, 1]"
36.a1,36a4,36,"[0, 0, 0, -135, -594]"
36.a2,36a2,36,"[0, 0, 0, -15, 22]"
36.a3,36a3,36,"[0, 0, 0, 0, -27]"
36.a4,36a1,36,"[0, 0, 0, 0, 1]"
37.a1,37a1,37,"[0, 0, 1, -1, 0]"
37.b1,37b2,37,"[0, 1, 1, -1873, -31833]"
37.b2,37b1,37,"[0, 1, 1, -23, -50]"
37.b3,37b3,37,"[0, 1, 1, -3, 1]"
38.a1,38a2,38,"[1, 0, 1, -86, -2456]"
38.a2,38a3,38,"[1, 0, 1, -16, 22]"
38.a3,38a1,38,"[1, 0, 1, 9, 90]"
38.b1,38b2,38,"[1, 1, 1, -70, -279]"
38.b2,38b1,38,"[1, 1, 1, 0, 1]"
39.a1,39a2,39,"[1, 1, 0, -69, -252]"
39.a2,39a3,39,"[1, 1, 0, -19, 22]"
39.a3,39a1,39,"[1, 1, 0, -4, -5]"
39.a4,39a4,39,"[1, 1, 0, 1, 0]"
40.a1,40a2,40,"[0, 0, 0, -107, -426]"
40.a2,40a1,40,"[0, 0, 0, -7, -6]"
40.a3,40a3,40,"[0, 0, 0, -2, 1]"
40.a4,40a4,40,"[0, 0, 0, 13, -34]"
42.a1,42a4,42,"[1, 1, 1, -1344, 18405]"
