label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
11.2.a.a,11,1,0,-2,-1,1,-2,1,4,-2,0,-1,0,7,3,-8,-6,8,-6,5,12,-7,-3,4,-10,-6,15,-7
14.2.a.a,14,1,0,-1,-2,0,1,0,-4,6,2,0,-6,-4,2,6,8,-12,6,-6,8,-4,0,2,8,-6,-6,-10
15.2.a.a,15,1,0,-1,-1,1,0,-4,-2,2,4,0,-2,0,-10,10,4,8,-10,-4,-2,12,-8,10,0,12,-6,2
17.2.a.a,17,1,0,-1,0,-2,4,0,-2,1,-4,4,6,4,-2,-6,4,0,6,-12,-10,4,-4,-6,12,-4,10,2
19.2.a.a,19,1,0,0,-2,3,-1,3,-4,-3,1,0,6,-4,2,-6,-1,-3,12,-6,-1,-4,6,-7,8,12,12,8
20.2.a.a,20,1,0,0,-2,-1,2,0,2,-6,-4,6,6,-4,2,6,-10,-6,-6,12,2,2,-12,2,8,6,-6,2
21.2.a.a,21,1,0,-1,1,-2,-1,4,-2,-6,4,0,-2,0,6,2,-4,0,6,12,-2,4,0,-6,-16,-12,-14,18
23.2.a.a,23,2,0,-1,0,-2,2,-6,6,6,-4,2,-6,0,2,2,0,0,-8,4,4,-10,20,22,-4,-22,-12,22
24.2.a.a,24,1,0,0,-1,-2,0,4,-2,2,-4,-8,6,8,6,-6,4,0,-2,4,-2,-4,8,10,-8,-4,-6,2
26.2.a.a,26,1,0,-1,1,-3,-1,6,1,-3,2,0,6,-4,-7,0,-1,3,0,-6,8,14,-3,2,8,12,-6,-10
26.2.a.b,26,1,0,1,-3,-1,1,-2,-1,-3,6,-4,2,4,3,0,-5,13,12,-10,-8,-2,-5,-10,-4,0,6,14
27.2.a.a,27,1,0,0,0,0,-1,0,5,0,-7,0,0,-4,11,0,8,0,0,0,-1,5,0,-7,17,0,0,-19
29.2.a.a,29,2,0,-2,2,-2,0,2,-2,-4,12,-4,2,6,-8,8,10,2,2,4,-4,0,-12,8,-2,4,-8,-8
30.2.a.a,30,1,0,-1,1,-1,-4,0,2,6,-4,0,-6,8,2,-6,-4,0,-6,0,-10,-4,0,2,8,12,18,2
31.2.a.a,31,2,0,1,-2,2,-4,4,-2,6,0,-2,10,2,-4,14,-2,-4,-12,0,-6,16,4,8,-10,-12,10,-14
32.2.a.a,32,1,0,0,0,-2,0,0,6,2,0,0,-10,0,-2,10,0,0,14,0,-10,0,0,-6,0,0,10,18
33.2.a.a,33,1,0,1,-1,-2,4,1,-2,-2,0,8,-6,-8,6,-2,0,8,6,-4,6,-4,0,-14,-4,12,-6,2
34.2.a.a,34,1,0,1,-2,0,-4,6,2,-1,-4,0,0,-4,-4,6,8,0,-6,0,-4,8,0,2,8,0,-6,14
35.2.a.a,35,1,0,0,1,-1,1,-3,5,3,2,-6,3,-4,2,-12,-10,9,12,0,8,-4,0,2,-1,12,-12,-1
35.2.a.b,35,2,0,-1,-1,2,-2,1,5,-5,-6,-2,1,0,12,2,10,-5,-2,-8,6,4,16,-8,-9,8,6,-9
36.2.a.a,36,1,0,0,0,0,-4,0,2,0,8,0,0,-4,-10,0,8,0,0,0,14,-16,0,-10,-4,0,0,14
37.2.a.a,37,1,0,-2,-3,-2,-1,-5,-2,0,0,2,6,-4,-1,-9,2,-9,1,8,-8,8,9,-1,4,-15,4,4
37.2.a.b,37,1,0,0,1,0,-1,3,-4,6,2,6,-6,-4,1,-9,8,3,-3,12,8,-4,-15,11,-10,9,6,8
38.2.a.a,38,1,0,-1,1,0,-1,-6,5,3,1,3,9,-4,2,0,8,0,-3,9,-10,5,-6,-7,-10,-6,-12,-10
38.2.a.b,38,1,0,1,-1,-4,3,2,-1,3,-1,-1,-5,-8,-2,-8,4,8,-1,15,2,3,2,9,-10,-6,0,-2
39.2.a.a,39,1,0,1,-1,2,-4,4,1,2,0,0,-10,4,-2,6,-12,0,6,12,-2,-8,0,2,8,4,-2,10
39.2.a.b,39,2,0,-2,2,0,0,-4,-2,4,0,-8,4,-8,-4,16,8,-12,-4,4,4,8,4,12,0,-4,24,-4
40.2.a.a,40,1,0,0,0,1,-4,4,-2,2,4,4,-2,-8,6,-6,-8,4,6,-4,-2,8,0,-6,0,-16,-6,-14
41.2.a.a,41,3,0,-1,0,-2,6,2,-2,-6,4,4,-6,16,-6,3,-4,0,6,-8,2,-2,20,-2,32,0,-6,6
42.2.a.a,42,1,0,1,-1,-2,-1,-4,6,2,-4,8,-2,0,-10,-6,-4,0,6,4,6,4,8,10,0,-4,-6,-14
43.2.a.a,43,1,0,-2,-2,-4,0,3,-5,-3,-2,-1,-6,-1,0,5,-1,4,-5,-12,2,-3,2,2,-8,15,-4,7
43.2.a.b,43,2,0,0,0,4,-4,-2,2,10,-4,2,0,-6,0,-2,2,12,22,-4,8,2,-12,-24,4,18,-12,-2
44.2.a.a,44,1,0,0,1,-3,2,-1,-4,6,8,-3,0,5,-1,0,-10,0,-6,3,-4,-1,15,-4,2,6,-9,-7
45.2.a.a,45,1,0,1,0,-1,0,4,-2,-2,4,0,2,0,-10,-10,4,-8,10,4,-2,12,8,10,0,-12,6,2
46.2.a.a,46,1,0,-1,0,4,-4,2,-2,-2,-2,1,2,0,-4,6,10,0,-4,12,-8,-10,0,6,-12,14,-6,6
47.2.a.a,47,4,0,1,0,-2,4,-6,8,6,0,-6,-10,-8,10,6,2,4,-6,4,-6,10,-12,22,20,20,-6,30
48.2.a.a,48,1,0,0,1,-2,0,-4,-2,2,4,8,6,-8,6,-6,-4,0,-2,-4,-2,4,-8,10,8,4,-6,2
49.2.a.a,49,1,0,1,0,0,0,4,0,0,0,8,2,0,-6,0,-12,0,-10,0,0,4,16,0,8,0,0,0
50.2.a.a,50,1,0,-1,1,0,2,-3,-4,-3,5,6,0,2,2,-3,-4,12,6,0,2,-13,12,11,-10,-9,15,2
50.2.a.b,50,1,0,1,-1,0,-2,-3,4,3,5,-6,0,2,-2,-3,4,-12,-6,0,2,13,12,-11,-10,9,15,-2
51.2.a.a,51,1,0,0,1,3,-4,-3,-1,-1,-1,9,6,2,-4,-3,-7,-6,-6,6,8,-4,12,2,-10,-6,0,-16
51.2.a.b,51,2,0,-1,-2,3,0,-1,5,2,3,-9,0,-2,-2,-3,-3,-14,8,6,10,8,4,-8,6,-10,6,-14
52.2.a.a,52,1,0,0,0,2,-2,-2,-1,6,-6,8,2,10,-6,-6,4,-2,6,-10,-2,10,10,2,-4,-6,-6,2
53.2.a.a,53,1,0,-1,-3,0,-4,0,-3,-3,-5,7,-7,4,5,6,-2,-2,-1,-2,-8,-12,1,-4,-1,-1,-14,1
53.2.a.b,53,3,0,-1,3,-2,4,-4,3,-5,11,3,-5,-2,-5,-10,18,-10,3,2,-10,6,-5,6,-7,27,-2,-1
54.2.a.a,54,1,0,-1,0,3,-1,-3,-4,0,2,-6,6,5,2,-6,-10,6,9,12,8,14,0,-7,8,-3,-18,-1
54.2.a.b,54,1,0,1,0,-3,-1,3,-4,0,2,6,-6,5,2,6,-10,-6,-9,-12,8,14,0,-7,8,3,18,-1
55.2.a.a,55,1,0,1,0,1,0,-1,2,6,-4,4,6,-8,-2,2,4,-12,-2,4,-10,-16,8,14,8,-4,10,10
55.2.a.b,55,2,0,2,0,-2,-4,2,-8,8,0,0,4,0,-4,12,-12,0,12,-8,4,8,0,-8,8,-12,-4,-4
56.2.a.a,56,1,0,0,0,2,-1,-4,2,-6,8,0,6,8,-2,2,-4,-8,6,0,-6,-4,-8,10,16,8,-6,-6
56.2.a.b,56,1,0,0,2,-4,1,0,0,-2,-2,8,2,4,-6,-2,8,-4,-10,6,4,-12,0,-14,-8,6,10,-2
57.2.a.a,57,1,0,-2,-1,-3,-5,1,2,-1,-1,-4,-2,-6,0,0,-1,-9,10,-8,-1,8,-12,-11,16,12,-6,-10
57.2.a.b,57,1,0,-2,1,1,3,-3,-6,3,-1,4,-10,2,8,-8,-1,3,-6,0,7,8,12,-11,0,4,10,-2
57.2.a.c,57,1,0,1,1,-2,0,0,6,-6,-1,4,2,8,-10,-2,-4,12,-6,-12,-2,-4,0,10,0,16,-2,10
58.2.a.a,58,1,0,-1,-3,-3,-2,-1,3,-4,-8,0,-1,3,-8,-2,7,11,1,-4,4,-4,-2,-12,-7,0,-6,-6
58.2.a.b,58,1,0,1,-1,1,-2,-3,-1,8,0,4,-1,-3,8,2,-11,13,-11,0,-8,-12,2,4,15,4,-10,-2
59.2.a.a,59,5,0,0,-2,2,2,-2,8,-1,6,-8,14,0,18,-10,-4,-20,-10,5,22,0,3,-8,10,6,10,-22
61.2.a.a,61,1,0,-1,-2,-3,1,-5,1,4,-4,-9,-6,0,8,5,-8,4,6,9,-1,-7,-8,-11,3,4,-4,-14
61.2.a.b,61,3,0,1,2,-1,-3,13,-9,-2,0,5,4,-2,-6,3,-14,-4,-2,29,3,9,14,-1,13,-8,-4,10
62.2.a.a,62,1,0,1,0,-2,0,0,2,-6,4,8,2,-1,10,-6,8,-8,-6,-12,-6,-12,8,10,-8,8,-6,2
62.2.a.b,62,2,0,-2,2,0,4,-6,-2,0,-8,0,-6,2,10,12,-2,12,6,-12,-2,16,0,-20,4,6,12,4
63.2.a.a,63,1,0,1,0,2,-1,-4,-2,6,4,0,2,0,6,-2,-4,0,-6,-12,-2,4,0,-6,-16,12,14,18
63.2.a.b,63,2,0,0,0,0,2,0,4,0,-8,0,0,-8,4,0,-8,0,0,0,-20,-8,0,28,16,0,0,28
64.2.a.a,64,1,0,0,0,2,0,0,-6,2,0,0,10,0,2,10,0,0,-14,0,10,0,0,-6,0,0,10,18
65.2.a.a,65,1,0,-1,-2,-1,-4,2,-1,2,-6,-6,2,-10,-2,-6,10,4,2,6,2,-4,6,-6,-12,-16,2,-2
65.2.a.b,65,2,0,-2,0,2,4,4,-2,-4,4,0,0,12,0,-12,-8,-4,-12,12,-16,-4,4,0,0,-12,12,-4
65.2.a.c,65,2,0,0,2,-2,4,-6,2,0,-2,6,-12,10,-8,0,10,12,0,-6,4,-8,6,-8,4,-12,-12,4
66.2.a.a,66,1,0,-1,1,0,2,-1,-4,-6,-4,6,6,8,-10,6,8,-6,0,0,8,-4,6,2,14,-12,-6,14
66.2.a.b,66,1,0,1,-1,2,-4,-1,-6,2,4,4,6,0,6,-6,4,-12,2,12,-14,4,-12,-6,-4,4,10,-14
66.2.a.c,66,1,0,1,1,-4,-2,1,4,-2,0,-6,10,-8,-2,2,4,-2,4,0,-8,-12,2,-6,10,4,10,-2
67.2.a.a,67,1,0,2,-2,2,-2,-4,2,3,7,9,-5,-10,-1,0,-2,-1,10,9,-2,1,0,-7,-8,4,7,0
