label,short_label,conductor_norm,conductor_label,iso_label,number,ainvs,bad_primes,non_min_p,base_change,sealed
2.2.5.1-31.1-a1,31.1-a1,31,31.1,a,1,"1,0;1,1;0,1;0,1;0,0","[""(5*w-2)""]",[],[],0
2.2.5.1-31.1-a2,31.1-a2,31,31.1,a,2,"0,1;-1,0;1,1;-141,133;-764,737","[""(5*w-2)""]",[],[],0
2.2.5.1-31.1-a3,31.1-a3,31,31.1,a,3,"0,1;-1,0;1,1;-21,-12;10,42","[""(5*w-2)""]",[],[],0
2.2.5.1-31.1-a4,31.1-a4,31,31.1,a,4,"1,0;1,1;0,1;-75,31;-303,141","[""(5*w-2)""]",[],[],0
2.2.5.1-31.1-a5,31.1-a5,31,31.1,a,5,"1,0;1,1;0,1;-5,1;-5,3","[""(5*w-2)""]",[],[],0
2.2.5.1-31.1-a6,31.1-a6,31,31.1,a,6,"1,1;1,-1;0,1;15,-18;-265,171","[""(5*w-2)""]",[],[],0
2.2.5.1-31.2-a1,31.2-a1,31,31.2,a,1,"1,0;-1,-1;0,1;-45,-30;-117,-111","[""(5*w-3)""]",[],[],0
2.2.5.1-31.2-a2,31.2-a2,31,31.2,a,2,"0,1;1,0;1,1;-2,16;-94,-172","[""(5*w-3)""]",[],[],0
2.2.5.1-31.2-a3,31.2-a3,31,31.2,a,3,"1,0;-1,-1;0,1;0,0;0,0","[""(5*w-3)""]",[],[],0
2.2.5.1-31.2-a4,31.2-a4,31,31.2,a,4,"1,0;-1,-1;0,1;-5,0;3,-3","[""(5*w-3)""]",[],[],0
2.2.5.1-31.2-a5,31.2-a5,31,31.2,a,5,"1,1;-1,-1;0,1;-32,10;53,-43","[""(5*w-3)""]",[],[],0
2.2.5.1-31.2-a6,31.2-a6,31,31.2,a,6,"1,1;-1,-1;0,1;-7,-135;-26,-738","[""(5*w-3)""]",[],[],0
2.2.5.1-36.1-a1,36.1-a1,36,36.1,a,1,"1,1;0,1;0,1;0,0;0,0","[""(2)"", ""(3)""]",[],[],0
2.2.5.1-36.1-a2,36.1-a2,36,36.1,a,2,"1,1;0,1;0,1;-5,-5;-37,-51","[""(2)"", ""(3)""]",[],[],0
2.2.5.1-36.1-a3,36.1-a3,36,36.1,a,3,"0,1;-1,1;0,1;-331,165;-2408,1352","[""(2)"", ""(3)""]",[],[],0
2.2.5.1-36.1-a4,36.1-a4,36,36.1,a,4,"0,1;-1,1;0,1;-21,10;51,-31","[""(2)"", ""(3)""]",[],[],0
