label,short_label,conductor_norm,conductor_label,iso_label,number,ainvs,bad_primes,non_min_p,base_change,sealed
2.2.8.1-9.1-a1,9.1-a1,9,9.1,a,1,"0,1;-1,-1;1,1;-60,-40;-220,-153","[""(3)""]",[],[],0
2.2.8.1-9.1-a2,9.1-a2,9,9.1,a,2,"0,1;-1,-1;1,1;0,0;0,0","[""(3)""]",[],[],0
2.2.8.1-9.1-a3,9.1-a3,9,9.1,a,3,"0,1;0,1;1,1;-3,-2;0,0","[""(3)""]",[],[],0
2.2.8.1-9.1-a4,9.1-a4,9,9.1,a,4,"0,1;0,1;1,1;-243,-162;-2130,-1495","[""(3)""]",[],[],0
2.2.8.1-17.1-a1,17.1-a1,17,17.1,a,1,"0,1;1,-1;1,1;1,-2;0,-1","[""(-3*w-1)""]",[],[],0
2.2.8.1-17.1-a2,17.1-a2,17,17.1,a,2,"0,1;1,-1;1,1;-19,13;-69,47","[""(-3*w-1)""]",[],[],0
2.2.8.1-17.1-a3,17.1-a3,17,17.1,a,3,"0,1;-1,0;1,1;-53,-34;-163,-113","[""(-3*w-1)""]",[],[],0
2.2.8.1-17.1-a4,17.1-a4,17,17.1,a,4,"0,1;1,1;1,1;-1,1;-1,0","[""(-3*w-1)""]",[],[],0
2.2.8.1-17.2-a1,17.2-a1,17,17.2,a,1,"0,1;1,1;1,1;-19,-14;-69,-48","[""(3*w-1)""]",[],[],0
2.2.8.1-17.2-a2,17.2-a2,17,17.2,a,2,"0,1;1,1;1,1;1,1;0,0","[""(3*w-1)""]",[],[],0
2.2.8.1-17.2-a3,17.2-a3,17,17.2,a,3,"0,1;1,-1;1,1;-1,-2;-1,-1","[""(3*w-1)""]",[],[],0
2.2.8.1-17.2-a4,17.2-a4,17,17.2,a,4,"0,1;-1,0;1,1;-53,33;-163,112","[""(3*w-1)""]",[],[],0
2.2.8.1-28.1-a1,28.1-a1,28,28.1,a,1,"0,1;1,-1;0,0;-18,-9;-467,-320","[""(w)"", ""(-2*w+1)""]",[],[],0
2.2.8.1-28.1-a2,28.1-a2,28,28.1,a,2,"0,1;1,-1;0,0;2,1;17,12","[""(w)"", ""(-2*w+1)""]",[],[],0
2.2.8.1-28.1-a3,28.1-a3,28,28.1,a,3,"0,1;1,-1;0,0;-148,-19;-201,318","[""(w)"", ""(-2*w+1)""]",[],[],0
2.2.8.1-28.1-a4,28.1-a4,28,28.1,a,4,"0,0;-1,0;0,0;3,-2;0,0","[""(w)"", ""(-2*w+1)""]",[],[],0
2.2.8.1-28.1-a5,28.1-a5,28,28.1,a,5,"0,1;-1,0;0,1;-4,2;1,-1","[""(w)"", ""(-2*w+1)""]",[],[],0
2.2.8.1-28.1-a6,28.1-a6,28,28.1,a,6,"0,1;1,-1;0,0;-53,-34;-203,-133","[""(w)"", ""(-2*w+1)""]",[],[],0
