label,level_norm,level_label,dimension,weight,is_base_change,is_CM,sealed,eigs25
2.2.5.1-31.1-a,31,31.1,1,"[2, 2]",no,no,0,"[-3, -2, 2, 4, -4, -4, 4, -2, -2, -1, 8, -6, -6, 2, 12, -4, 6, -2, 0, -8, 0, 16, -6, 10, 6]"
2.2.5.1-31.2-a,31,31.2,1,"[2, 2]",no,no,0,"[-3, -2, 2, -4, 4, 4, -4, -2, -2, 8, -1, -6, -6, 2, -4, 12, -2, 6, -8, 0, 16, 0, 10, -6, -10]"
2.2.5.1-36.1-a,36,36.1,1,"[2, 2]",yes,no,0,"[-1, -4, -1, 2, 2, 0, 0, 0, 0, -8, -8, 2, 2, 10, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10, -8]"
2.2.5.1-41.1-a,41,41.1,1,"[2, 2]",no,no,0,"[-2, -1, -4, -2, 5, -1, 6, 9, 2, -10, 4, -1, 0, -6, -3, 4, 6, -8, 9, -12, -11, -4, -8, -1, 11]"
2.2.5.1-41.2-a,41,41.2,1,"[2, 2]",no,no,0,"[-2, -1, -4, 5, -2, 6, -1, 2, 9, 4, -10, 0, -1, -6, 4, -3, -8, 6, -12, 9, -4, -11, -1, -8, 4]"
2.2.5.1-45.1-a,45,45.1,1,"[2, 2]",yes,no,0,"[-3, 1, 1, -4, -4, 4, 4, -2, -2, 0, 0, 10, 10, -14, -4, -4, -2, -2, -8, -8, 0, 0, -6, -6, 6]"
2.2.5.1-49.1-a,49,49.1,1,"[2, 2]",yes,no,0,"[0, -4, 5, -3, -3, 0, 0, 5, 5, 2, 2, 2, 2, -1, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0, 12]"
2.2.5.1-55.1-a,55,55.1,1,"[2, 2]",no,no,0,"[-1, -1, -2, 0, -1, -4, 8, 6, -6, 8, -4, 6, -6, 14, -12, 0, -10, 2, 0, 0, -4, 8, 6, -18, -18]"
2.2.5.1-55.2-a,55,55.2,1,"[2, 2]",no,no,0,"[-1, -1, -2, -1, 0, 8, -4, -6, 6, -4, 8, -6, 6, 14, 0, -12, 2, -10, 0, 0, 8, -4, -18, 6, 6]"
2.2.5.1-64.1-a,64,64.1,1,"[2, 2]",yes,no,0,"[0, -2, 2, -4, -4, 4, 4, -2, -2, 0, 0, 2, 2, 10, 12, 12, -10, -10, 8, 8, -16, -16, -6, -6, 6]"
2.2.5.1-71.1-a,71,71.1,1,"[2, 2]",no,no,0,"[-1, 0, -2, 0, 0, -4, 2, -6, 6, 2, 8, 12, 6, -4, -12, 6, -4, -10, -1, 6, 14, -4, 18, 6, -6]"
2.2.5.1-71.2-a,71,71.2,1,"[2, 2]",no,no,0,"[-1, 0, -2, 0, 0, 2, -4, 6, -6, 8, 2, 6, 12, -4, 6, -12, -10, -4, 6, -1, -4, 14, 6, 18, -6]"
2.2.5.1-76.1-a,76,76.1,1,"[2, 2]",no,no,0,"[-1, 1, -5, -3, 2, -1, 5, -10, 5, 7, -3, 2, 2, 0, 0, 10, -8, 12, 7, -8, 5, 15, -15, 0, 7]"
2.2.5.1-76.1-b,76,76.1,1,"[2, 2]",no,no,0,"[1, -3, 1, 3, -6, 1, -7, -6, 3, 5, 5, 6, 6, -4, -12, 6, 8, 8, -9, 0, -1, -1, 9, 0, -15]"
2.2.5.1-76.2-a,76,76.2,1,"[2, 2]",no,no,0,"[-1, 1, -5, 2, -3, 5, -1, 5, -10, -3, 7, 2, 2, 0, 10, 0, 12, -8, -8, 7, 15, 5, 0, -15, -18]"
2.2.5.1-76.2-b,76,76.2,1,"[2, 2]",no,no,0,"[1, -3, 1, -6, 3, -7, 1, 3, -6, 5, 5, 6, 6, -4, 6, -12, 8, 8, 0, -9, -1, -1, 0, 9, -6]"
2.2.5.1-79.1-a,79,79.1,1,"[2, 2]",no,no,0,"[1, -2, -2, 0, -4, 8, 4, -2, 6, -8, 0, -2, 2, -2, -4, 4, 14, 10, 12, -16, -1, 8, 18, -14, 6]"
2.2.5.1-79.2-a,79,79.2,1,"[2, 2]",no,no,0,"[1, -2, -2, -4, 0, 4, 8, 6, -2, 0, -8, 2, -2, -2, 4, -4, 10, 14, -16, 12, 8, -1, -14, 18, -10]"
2.2.5.1-80.1-a,80,80.1,1,"[2, 2]",yes,no,0,"[0, -1, -2, 0, 0, -4, -4, 6, 6, -4, -4, 6, 6, -10, 12, 12, 2, 2, -12, -12, 8, 8, -6, -6, 6]"
2.2.5.1-81.1-a,81,81.1,1,"[2, 2]",yes,yes,0,"[-1, 0, 0, 0, 0, -4, -4, 0, 0, 8, 8, 0, 0, 14, 0, 0, 2, 2, 0, 0, -16, -16, 0, 0, 0]"
2.2.5.1-89.1-a,89,89.1,1,"[2, 2]",no,no,0,"[-1, 0, 4, 0, -6, -4, 2, 6, 6, -4, -4, 0, 6, -4, 0, 12, -4, 14, 0, 12, 2, -16, -1, 6, -6]"
2.2.5.1-89.2-a,89,89.2,1,"[2, 2]",no,no,0,"[-1, 0, 4, -6, 0, 2, -4, 6, 6, -4, -4, 6, 0, -4, 12, 0, 14, -4, 12, 0, -16, 2, 6, -1, -18]"
2.2.5.1-95.1-a,95,95.1,1,"[2, 2]",no,no,0,"[-1, 1, -2, 0, 0, 1, -4, 6, -6, -4, 8, -6, -6, 2, 12, 12, -10, 14, 0, 12, -16, 8, -6, 6, 6]"
2.2.5.1-95.2-a,95,95.2,1,"[2, 2]",no,no,0,"[-1, 1, -2, 0, 0, -4, 1, -6, 6, 8, -4, -6, -6, 2, 12, 12, 14, -10, 12, 0, 8, -16, 6, -6, 6]"
2.2.5.1-99.1-a,99,99.1,1,"[2, 2]",no,no,0,"[1, -2, 1, 1, -4, 4, -4, 6, -2, 8, -8, -6, 2, 2, 12, 12, -2, -2, 8, -8, 8, 16, 2, -14, -10]"
2.2.5.1-99.2-a,99,99.2,1,"[2, 2]",no,no,0,"[1, -2, 1, -4, 1, -4, 4, -2, 6, -8, 8, 2, -6, 2, 12, 12, -2, -2, -8, 8, 16, 8, -14, 2, -2]"
2.2.5.1-100.1-a,100,100.1,1,"[2, 2]",yes,no,0,"[-1, 0, 5, -3, -3, -5, -5, 0, 0, 2, 2, -3, -3, 10, 0, 0, 2, 2, 12, 12, 10, 10, -15, -15, -18]"
2.2.5.1-100.1-b,100,100.1,1,"[2, 2]",yes,no,0,"[1, 0, -5, -3, -3, 5, 5, 0, 0, 2, 2, -3, -3, -10, 0, 0, 2, 2, 12, 12, -10, -10, 15, 15, -18]"
2.2.5.1-116.1-a,116,116.1,1,"[2, 2]",no,no,0,"[-1, 1, 0, 2, -3, -5, 0, -1, -5, 7, -8, -3, 12, 5, 0, 0, 12, 2, 7, -8, -10, -5, 15, 0, 2]"
2.2.5.1-116.1-b,116,116.1,1,"[2, 2]",no,no,0,"[1, -1, -4, -2, 5, -1, -8, 1, 9, -3, 4, -7, 0, 1, 4, 4, -8, 6, 9, 16, 10, -11, -1, -8, -10]"
2.2.5.1-116.2-a,116,116.2,1,"[2, 2]",no,no,0,"[-1, 1, 0, -3, 2, 0, -5, -5, -1, -8, 7, 12, -3, 5, 0, 0, 2, 12, -8, 7, -5, -10, 0, 15, 17]"
2.2.5.1-116.2-b,116,116.2,1,"[2, 2]",no,no,0,"[1, -1, -4, 5, -2, -8, -1, 9, 1, 4, -3, 0, -7, 1, 4, 4, 6, -8, 16, 9, -11, 10, -8, -1, 11]"
2.2.5.1-121.1-a,121,121.1,1,"[2, 2]",yes,no,0,"[0, 1, -5, 1, 1, 0, 0, 0, 0, 7, 7, -8, -8, -10, 5, 5, 12, 12, -3, -3, -10, -10, 15, 15, 2]"
2.2.5.1-124.1-a,124,124.1,1,"[2, 2]",no,no,0,"[1, 0, -2, -6, 0, 2, 2, 0, 6, 1, -4, 6, -6, 14, -12, 0, 8, -10, -12, 0, 8, 8, 6, -6, 12]"
