label,level_norm,level_label,dimension,weight,is_base_change,is_CM,sealed,eigs25
2.2.8.1-9.1-a,9,9.1,1,"[2, 2]",yes,no,0,"[-2, -2, -2, -1, -2, -2, 4, 4, 6, 2, 2, 2, 2, -12, -12, 12, 12, -6, -6, 10, 10, -10, -10, -2, -2]"
2.2.8.1-17.1-a,17,17.1,1,"[2, 2]",no,no,0,"[0, -4, 2, -2, -1, 6, -6, 0, 2, 2, -4, 6, -6, 6, 6, 12, -6, -10, -10, 8, -10, 6, -6, 2, -10]"
2.2.8.1-17.2-a,17,17.2,1,"[2, 2]",no,no,0,"[0, 2, -4, -2, 6, -1, 0, -6, 2, -4, 2, -6, 6, 6, 6, -6, 12, -10, -10, -10, 8, -6, 6, -10, 2]"
2.2.8.1-28.1-a,28,28.1,1,"[2, 2]",no,no,0,"[0, 1, -4, -2, -6, 6, 0, 0, 2, 8, -4, -6, -6, 0, 12, -12, 0, 2, 14, 8, -4, 6, -6, -10, 2]"
2.2.8.1-28.2-a,28,28.2,1,"[2, 2]",no,no,0,"[0, -4, 1, -2, 6, -6, 0, 0, 2, -4, 8, -6, -6, 12, 0, 0, -12, 14, 2, -4, 8, -6, 6, 2, -10]"
2.2.8.1-31.1-a,31,31.1,1,"[2, 2]",no,no,0,"[-1, 0, 4, -2, -2, -6, 0, -4, -6, -1, 8, 10, -6, -8, 12, 0, 8, 2, 14, -8, 4, -14, 6, -2, 6]"
2.2.8.1-31.2-a,31,31.2,1,"[2, 2]",no,no,0,"[-1, 4, 0, -2, -6, -2, -4, 0, -6, 8, -1, -6, 10, 12, -8, 8, 0, 14, 2, 4, -8, 6, -14, 6, -2]"
2.2.8.1-32.1-a,32,32.1,1,"[2, 2]",yes,yes,0,"[0, 0, 0, -6, 2, 2, 0, 0, -6, 0, 0, 10, 10, 0, 0, 0, 0, -6, -6, 0, 0, 10, 10, 18, 18]"
2.2.8.1-34.1-a,34,34.1,1,"[2, 2]",no,no,0,"[-1, 2, -4, 4, -1, -6, 0, -6, -4, 8, -4, 6, 0, 0, 0, 6, -12, 14, -4, 8, 8, -6, 6, 14, -10]"
2.2.8.1-34.2-a,34,34.2,1,"[2, 2]",no,no,0,"[-1, -4, 2, 4, -6, -1, -6, 0, -4, -4, 8, 0, 6, 0, 0, -12, 6, -4, 14, 8, 8, 6, -6, -10, 14]"
2.2.8.1-46.1-a,46,46.1,1,"[2, 2]",no,no,0,"[-1, 5, -1, -5, 0, -3, 6, -1, -1, -7, 2, -6, -9, 0, -3, 6, 0, -4, 14, 8, -1, 3, -6, -4, 14]"
2.2.8.1-46.1-b,46,46.1,1,"[2, 2]",no,no,0,"[1, -3, -3, -1, -4, 7, 2, 1, -7, -1, 10, -2, 9, 4, -7, 6, -16, 8, -14, -8, 3, -9, 2, -12, 10]"
2.2.8.1-46.2-a,46,46.2,1,"[2, 2]",no,no,0,"[-1, -1, 5, -5, -3, 0, -1, 6, -1, 2, -7, -9, -6, -3, 0, 0, 6, 14, -4, -1, 8, -6, 3, 14, -4]"
2.2.8.1-46.2-b,46,46.2,1,"[2, 2]",no,no,0,"[1, -3, -3, -1, 7, -4, 1, 2, -7, 10, -1, 9, -2, -7, 4, -16, 6, -14, 8, 3, -8, 2, -9, 10, -12]"
2.2.8.1-47.1-a,47,47.1,1,"[2, 2]",no,no,0,"[1, 0, 2, -2, -8, 0, 4, 4, -2, -8, 2, -2, 10, -1, 12, 6, 8, 4, -2, -8, 8, 12, 8, 2, -14]"
2.2.8.1-47.2-a,47,47.2,1,"[2, 2]",no,no,0,"[1, 2, 0, -2, 0, -8, 4, 4, -2, 2, -8, 10, -2, 12, -1, 8, 6, -2, 4, 8, -8, 8, 12, -14, 2]"
2.2.8.1-49.1-a,49,49.1,1,"[2, 2]",yes,no,0,"[0, 1, 1, 4, -6, -6, -6, -6, 8, -4, -4, 6, 6, 0, 0, 0, 0, 2, 2, 8, 8, 6, 6, -10, -10]"
2.2.8.1-56.1-a,56,56.1,1,"[2, 2]",no,no,0,"[0, 0, -1, 2, -6, 2, 8, -8, -6, -8, 0, 10, -6, 8, 0, 8, 16, 2, -6, 8, 0, -6, 2, 2, 10]"
2.2.8.1-56.2-a,56,56.2,1,"[2, 2]",no,no,0,"[0, -1, 0, 2, 2, -6, -8, 8, -6, 0, -8, -6, 10, 0, 8, 16, 8, -6, 2, 0, 8, 2, -6, 10, 2]"
2.2.8.1-62.1-a,62,62.1,1,"[2, 2]",no,no,0,"[1, -2, -2, 0, -2, -2, 4, -6, 6, 1, -8, -8, 12, 8, 8, -8, 12, 14, 4, 0, 0, -10, 0, 18, -2]"
2.2.8.1-62.2-a,62,62.2,1,"[2, 2]",no,no,0,"[1, -2, -2, 0, -2, -2, -6, 4, 6, -8, 1, 12, -8, 8, 8, 12, -8, 4, 14, 0, 0, 0, -10, -2, 18]"
2.2.8.1-63.1-a,63,63.1,1,"[2, 2]",no,no,0,"[1, -1, 4, -1, -2, -2, 4, -8, -6, 8, -4, -10, 2, 12, 0, 0, 0, -6, 6, 16, 4, -10, 14, -2, 10]"
2.2.8.1-63.2-a,63,63.2,1,"[2, 2]",no,no,0,"[1, 4, -1, -1, -2, -2, -8, 4, -6, -4, 8, 2, -10, 0, 12, 0, 0, 6, -6, 4, 16, 14, -10, 10, -2]"
2.2.8.1-64.1-a,64,64.1,1,"[2, 2]",yes,yes,0,"[0, 0, 0, 2, -6, -6, 0, 0, 10, 0, 0, -6, -6, 0, 0, 0, 0, 2, 2, 0, 0, 18, 18, 10, 10]"
2.2.8.1-72.1-a,72,72.1,1,"[2, 2]",yes,no,0,"[0, 0, 0, 1, 2, 2, -8, -8, -6, 8, 8, -6, -6, 0, 0, 8, 8, 10, 10, -8, -8, -6, -6, 2, 2]"
2.2.8.1-73.1-a,73,73.1,1,"[2, 2]",no,no,0,"[2, -4, -2, 2, -2, 6, 2, 6, -6, -4, -6, 10, -2, -2, 12, 6, 6, -1, 6, -6, 14, -18, 14, -10, -10]"
2.2.8.1-73.2-a,73,73.2,1,"[2, 2]",no,no,0,"[2, -2, -4, 2, 6, -2, 6, 2, -6, -6, -4, -2, 10, 12, -2, 6, 6, 6, -1, 14, -6, 14, -18, -10, -10]"
2.2.8.1-81.1-a,81,81.1,1,"[2, 2]",yes,no,0,"[2, -2, -2, 0, 2, 2, -4, -4, 6, 2, 2, -2, -2, 12, 12, -12, -12, -6, -6, 10, 10, 10, 10, -2, -2]"
2.2.8.1-81.1-b,81,81.1,1,"[2, 2]",yes,yes,0,"[0, 2, 2, 0, 0, 0, 0, 0, 2, -10, -10, 0, 0, 0, 0, 0, 0, 14, 14, -10, -10, 0, 0, 2, 2]"
2.2.8.1-82.1-a,82,82.1,1,"[2, 2]",no,no,0,"[1, 3, -2, -5, -2, -7, -6, 4, 6, 7, 7, -3, 1, -7, 8, -3, 2, 4, -16, 0, -10, -10, 10, -2, 13]"
2.2.8.1-82.1-b,82,82.1,1,"[2, 2]",no,no,0,"[-1, -1, 2, 1, 6, -3, -6, 0, 2, 5, -7, 3, -1, 3, -12, -3, -6, 8, 8, 8, -10, -6, -18, 2, 17]"
2.2.8.1-82.2-a,82,82.2,1,"[2, 2]",no,no,0,"[1, -2, 3, -5, -7, -2, 4, -6, 6, 7, 7, 1, -3, 8, -7, 2, -3, -16, 4, -10, 0, 10, -10, 13, -2]"
2.2.8.1-82.2-b,82,82.2,1,"[2, 2]",no,no,0,"[-1, 2, -1, 1, -3, 6, 0, -6, 2, -7, 5, -1, 3, -12, 3, -6, -3, 8, 8, -10, 8, -18, -6, 17, 2]"
2.2.8.1-89.1-a,89,89.1,1,"[2, 2]",no,no,0,"[-2, 3, -2, 0, 3, 3, 9, -6, 1, 2, -8, 7, 2, 8, -7, -13, -8, 4, -6, -5, -5, -1, 15, -12, 8]"
2.2.8.1-89.1-b,89,89.1,1,"[2, 2]",no,no,0,"[0, -1, 2, 4, 3, 3, -3, -6, -7, -10, 8, -9, 6, 0, -3, 15, 0, 8, 2, -1, -1, -1, -9, 8, 8]"
2.2.8.1-89.2-a,89,89.2,1,"[2, 2]",no,no,0,"[-2, -2, 3, 0, 3, 3, -6, 9, 1, -8, 2, 2, 7, -7, 8, -8, -13, -6, 4, -5, -5, 15, -1, 8, -12]"
2.2.8.1-89.2-b,89,89.2,1,"[2, 2]",no,no,0,"[0, 2, -1, 4, 3, 3, -6, -3, -7, 8, -10, 6, -9, -3, 0, 0, 15, 2, 8, -1, -1, -9, -1, 8, 8]"
2.2.8.1-92.1-a,92,92.1,1,"[2, 2]",no,no,0,"[0, 0, 0, 2, -2, 2, 1, -4, 2, -8, -4, -6, 10, 8, -8, 8, 0, -2, -10, 0, 4, 14, -6, -2, -6]"
2.2.8.1-92.2-a,92,92.2,1,"[2, 2]",no,no,0,"[0, 0, 0, 2, 2, -2, -4, 1, 2, -4, -8, 10, -6, -8, 8, 0, 8, -10, -2, 4, 0, -6, 14, -6, -2]"
2.2.8.1-94.1-a,94,94.1,1,"[2, 2]",no,no,0,"[-1, 2, 2, -2, -6, 6, 0, -6, -4, 8, 8, 0, -6, 0, -1, -6, -6, -10, -16, 8, 8, 12, 0, 2, -10]"
2.2.8.1-94.2-a,94,94.2,1,"[2, 2]",no,no,0,"[-1, 2, 2, -2, 6, -6, -6, 0, -4, 8, 8, -6, 0, -1, 0, -6, -6, -16, -10, 8, 8, 0, 12, -10, 2]"
2.2.8.1-98.1-a,98,98.1,1,"[2, 2]",yes,no,0,"[-1, 1, 1, -2, 6, 6, 0, 0, -10, -4, -4, 6, 6, -12, -12, 0, 0, 2, 2, 8, 8, -6, -6, -10, -10]"
2.2.8.1-98.2-a,98,98.2,1,"[2, 2]",no,no,0,"[1, 0, 1, -4, -3, -3, 3, 3, -2, -10, 4, 0, 0, 6, 6, -12, 9, -10, 4, 10, 10, 6, 6, -14, -7]"
2.2.8.1-98.2-b,98,98.2,1,"[2, 2]",no,no,0,"[-1, 0, -1, 4, -3, 3, 3, 3, 2, -10, -4, 0, 0, 6, -6, 12, -9, -10, -4, -10, -10, -6, 6, 14, -7]"
2.2.8.1-98.3-a,98,98.3,1,"[2, 2]",no,no,0,"[1, 1, 0, -4, -3, -3, 3, 3, -2, 4, -10, 0, 0, 6, 6, 9, -12, 4, -10, 10, 10, 6, 6, -7, -14]"
