type,start,endpoint,delta_bits,delta_frac
C1,15.a,2.2.5.1-45.1-a1,0.0000,0.0000
C3,15.a,2.2.5.1-45.1-a,6.0000,0.0000
C1,75.b,2.2.5.1-45.1-a1,0.0000,0.0000
C3,75.b,2.2.5.1-45.1-a,6.0000,0.0000
C1,100.a,2.2.5.1-80.1-a1,0.0000,0.0000
C3,100.a,2.2.5.1-80.1-a,6.0000,0.0000
C1,20.a,2.2.5.1-80.1-a1,0.0000,0.0000
C3,20.a,2.2.5.1-80.1-a,6.0000,0.0000
C1,50.a,2.2.5.1-100.1-b1,0.0000,0.0000
C3,50.a,2.2.5.1-100.1-b,6.0000,0.0000
C1,50.b,2.2.5.1-100.1-b1,0.0000,0.0000
C3,50.b,2.2.5.1-100.1-b,6.0000,0.0000
C1,11.a,2.2.5.1-121.1-a1,0.0000,0.0000
C3,11.a,2.2.5.1-121.1-a,7.7957,0.0000
C1,275.b,2.2.5.1-121.1-a1,0.0000,0.0000
C3,275.b,2.2.5.1-121.1-a,7.7957,0.0000
C1,150.b,2.2.5.1-180.1-a1,0.0000,0.0000
C3,150.b,2.2.5.1-180.1-a,12.0000,0.0000
C1,30.a,2.2.5.1-180.1-a1,0.0000,0.0000
C3,30.a,2.2.5.1-180.1-a,12.0000,0.0000
C1,14.a,2.2.5.1-196.1-a1,0.0000,0.0000
C3,14.a,2.2.5.1-196.1-a,12.0000,0.0000
C1,350.f,2.2.5.1-196.1-a1,0.0000,0.0000
C3,350.f,2.2.5.1-196.1-a,12.0000,0.0000
C1,75.a,2.2.5.1-225.1-c1,0.0000,0.0000
C3,75.a,2.2.5.1-225.1-c,6.0000,0.0000
C1,75.c,2.2.5.1-225.1-c1,0.0000,0.0000
C3,75.c,2.2.5.1-225.1-c,6.0000,0.0000
C1,175.b,2.2.5.1-245.1-a1,0.0000,0.0000
C3,175.b,2.2.5.1-245.1-a,6.0000,0.0000
C1,35.a,2.2.5.1-245.1-a1,0.0000,0.0000
C3,35.a,2.2.5.1-245.1-a,6.0000,0.0000
C1,17.a,2.2.5.1-289.1-a1,0.0000,0.0000
C3,17.a,2.2.5.1-289.1-a,0.0000,0.0000
C1,425.d,2.2.5.1-289.1-a1,0.0000,0.0000
C3,425.d,2.2.5.1-289.1-a,0.0000,0.0000
C1,200.c,2.2.5.1-320.1-a1,0.0000,0.0000
C3,200.c,2.2.5.1-320.1-a,6.0000,0.0000
C1,40.a,2.2.5.1-320.1-a1,0.0000,0.0000
C3,40.a,2.2.5.1-320.1-a,6.0000,0.0000
C1,19.a,2.2.5.1-361.1-a1,0.0000,0.0000
C3,19.a,2.2.5.1-361.1-a,7.8056,0.0000
C1,475.b,2.2.5.1-361.1-a1,0.0000,0.0000
C3,475.b,2.2.5.1-361.1-a,7.8056,0.0000
C1,45.a,2.2.5.1-405.1-a1,0.0000,0.0000
C3,45.a,2.2.5.1-405.1-a,6.0000,0.0000
C1,225.b,2.2.5.1-405.1-a1,0.0000,0.0000
C3,225.b,2.2.5.1-405.1-a,6.0000,0.0000
C1,21.a,2.2.5.1-441.1-d1,0.0000,0.0000
C3,21.a,2.2.5.1-441.1-d,12.0000,0.0000
C1,525.d,2.2.5.1-441.1-d1,0.0000,0.0000
C3,525.d,2.2.5.1-441.1-d,12.0000,0.0000
C1,600.h,2.2.5.1-576.1-e1,0.0000,0.0000
C3,600.h,2.2.5.1-576.1-e,12.0000,0.0000
C1,24.a,2.2.5.1-576.1-e1,0.0000,0.0000
C3,24.a,2.2.5.1-576.1-e,12.0000,0.0000
C1,275.a,2.2.5.1-605.1-c1,0.0000,0.0000
C3,275.a,2.2.5.1-605.1-c,6.4915,0.0000
C1,55.a,2.2.5.1-605.1-c1,0.0000,0.0000
C3,55.a,2.2.5.1-605.1-c,6.4915,0.0000
C1,650.g,2.2.5.1-676.1-a1,0.0000,0.0000
C3,650.g,2.2.5.1-676.1-a,6.0000,0.0000
C1,26.b,2.2.5.1-676.1-a1,0.0000,0.0000
C3,26.b,2.2.5.1-676.1-a,6.0000,0.0000
C1,26.a,2.2.5.1-676.1-d1,0.0000,0.0000
C3,26.a,2.2.5.1-676.1-d,6.0000,0.0000
C1,650.j,2.2.5.1-676.1-d1,0.0000,0.0000
C3,650.j,2.2.5.1-676.1-d,6.0000,0.0000
C1,675.e,2.2.5.1-729.1-b1,0.0000,0.0000
C3,675.e,2.2.5.1-729.1-b,6.0000,0.0000
C1,27.a,2.2.5.1-729.1-b1,0.0000,0.0000
C3,27.a,2.2.5.1-729.1-b,6.0000,0.0000
C1,65.a,2.2.5.1-845.1-a1,0.0000,0.0000
C3,65.a,2.2.5.1-845.1-a,0.0000,0.0000
C1,325.d,2.2.5.1-845.1-a1,0.0000,0.0000
C3,325.d,2.2.5.1-845.1-a,0.0000,0.0000
C1,150.a,2.2.5.1-900.1-a1,0.0000,0.0000
C3,150.a,2.2.5.1-900.1-a,12.0000,0.0000
C1,150.c,2.2.5.1-900.1-a1,0.0000,0.0000
C3,150.c,2.2.5.1-900.1-a,12.0000,0.0000
C1,64.a,2.2.8.1-32.1-a1,0.0000,0.0000
C3,64.a,2.2.8.1-32.1-a,0.0000,0.0000
C1,32.a,2.2.8.1-32.1-a1,0.0000,0.0000
C3,32.a,2.2.8.1-32.1-a,0.0000,0.0000
C1,192.d,2.2.8.1-72.1-a1,0.0000,0.0000
C3,192.d,2.2.8.1-72.1-a,6.0000,0.0000
C1,24.a,2.2.8.1-72.1-a1,0.0000,0.0000
C3,24.a,2.2.8.1-72.1-a,6.0000,0.0000
C1,14.a,2.2.8.1-98.1-a1,0.0000,0.0000
C3,14.a,2.2.8.1-98.1-a,5.8258,0.0000
C1,448.g,2.2.8.1-98.1-a1,0.0000,0.0000
C3,448.g,2.2.8.1-98.1-a,5.8258,0.0000
C1,320.f,2.2.8.1-100.1-a1,0.0000,0.0000
C3,320.f,2.2.8.1-100.1-a,6.0000,0.0000
C1,20.a,2.2.8.1-100.1-a1,0.0000,0.0000
C3,20.a,2.2.8.1-100.1-a,6.0000,0.0000
C1,11.a,2.2.8.1-121.1-a1,0.0000,0.0000
C3,11.a,2.2.8.1-121.1-a,0.0000,0.0000
C1,704.h,2.2.8.1-121.1-a1,0.0000,0.0000
C3,704.h,2.2.8.1-121.1-a,0.0000,0.0000
C1,192.b,2.2.8.1-144.1-b1,0.0000,0.0000
C3,192.b,2.2.8.1-144.1-b,6.0000,0.0000
C1,48.a,2.2.8.1-144.1-b1,0.0000,0.0000
C3,48.a,2.2.8.1-144.1-b,6.0000,0.0000
C1,320.c,2.2.8.1-200.1-a1,0.0000,0.0000
C3,320.c,2.2.8.1-200.1-a,6.0000,0.0000
C1,40.a,2.2.8.1-200.1-a1,0.0000,0.0000
C3,40.a,2.2.8.1-200.1-a,6.0000,0.0000
C1,15.a,2.2.8.1-225.1-b1,0.0000,0.0000
C3,15.a,2.2.8.1-225.1-b,12.0000,0.0000
C1,960.l,2.2.8.1-225.1-b1,0.0000,0.0000
C1,128.b,2.2.8.1-256.1-b1,0.0000,0.0000
C3,128.b,2.2.8.1-256.1-b,0.0000,0.0000
C1,128.c,2.2.8.1-256.1-b1,0.0000,0.0000
C3,128.c,2.2.8.1-256.1-b,0.0000,0.0000
C1,128.a,2.2.8.1-256.1-d1,0.0000,0.0000
C3,128.a,2.2.8.1-256.1-d,0.0000,0.0000
C1,128.d,2.2.8.1-256.1-d1,0.0000,0.0000
C3,128.d,2.2.8.1-256.1-d,0.0000,0.0000
C1,192.a,2.2.8.1-288.1-b1,0.0000,0.0000
C3,192.a,2.2.8.1-288.1-b,6.0000,0.0000
C1,96.b,2.2.8.1-288.1-b1,0.0000,0.0000
C3,96.b,2.2.8.1-288.1-b,6.0000,0.0000
C1,192.c,2.2.8.1-288.1-c1,0.0000,0.0000
C3,192.c,2.2.8.1-288.1-c,6.0000,0.0000
C1,96.a,2.2.8.1-288.1-c1,0.0000,0.0000
C3,96.a,2.2.8.1-288.1-c,6.0000,0.0000
C1,17.a,2.2.8.1-289.1-a1,0.0000,0.0000
C3,17.a,2.2.8.1-289.1-a,8.5577,0.0000
C1,36.a,2.2.8.1-324.1-a1,0.0000,0.0000
C3,36.a,2.2.8.1-324.1-a,6.0000,0.0000
C1,576.e,2.2.8.1-324.1-a1,0.0000,0.0000
C3,576.e,2.2.8.1-324.1-a,6.0000,0.0000
C1,26.b,2.2.8.1-338.1-a1,0.0000,0.0000
C3,26.b,2.2.8.1-338.1-a,0.0000,0.0000
C1,832.j,2.2.8.1-338.1-a1,0.0000,0.0000
C3,832.j,2.2.8.1-338.1-a,0.0000,0.0000
C1,26.a,2.2.8.1-338.1-b1,0.0000,0.0000
C3,26.a,2.2.8.1-338.1-b,0.0000,0.0000
C1,832.d,2.2.8.1-338.1-b1,0.0000,0.0000
C3,832.d,2.2.8.1-338.1-b,0.0000,0.0000
C1,19.a,2.2.8.1-361.1-a1,0.0000,0.0000
C3,19.a,2.2.8.1-361.1-a,0.0000,0.0000
C1,448.d,2.2.8.1-392.1-b1,0.0000,0.0000
C3,448.d,2.2.8.1-392.1-b,5.4157,0.0000
C1,56.a,2.2.8.1-392.1-b1,0.0000,0.0000
C3,56.a,2.2.8.1-392.1-b,5.4157,0.0000
C1,448.c,2.2.8.1-392.1-c1,0.0000,0.0000
C3,448.c,2.2.8.1-392.1-c,5.8258,0.0000
C1,56.b,2.2.8.1-392.1-c1,0.0000,0.0000
C3,56.b,2.2.8.1-392.1-c,5.8258,0.0000
C1,320.a,2.2.8.1-400.1-a1,0.0000,0.0000
C3,320.a,2.2.8.1-400.1-a,6.0000,0.0000
C1,80.b,2.2.8.1-400.1-a1,0.0000,0.0000
C3,80.b,2.2.8.1-400.1-a,6.0000,0.0000
C1,80.a,2.2.8.1-400.1-b1,0.0000,0.0000
C3,80.a,2.2.8.1-400.1-b,6.0000,0.0000
C1,320.d,2.2.8.1-400.1-b1,0.0000,0.0000
C3,320.d,2.2.8.1-400.1-b,6.0000,0.0000
C1,21.a,2.2.8.1-441.1-a1,0.0000,0.0000
