type,delta_bits,delta_frac
bc-wrong-field,107.1431,0.5238
tw-wrong-char,95.3512,0.4762
bc-wrong-field,107.1431,0.5238
tw-wrong-char,95.3512,0.4762
bc-wrong-field,98.6122,0.5000
tw-wrong-char,72.5003,0.3636
bc-wrong-field,98.6122,0.5000
tw-wrong-char,72.5003,0.3636
bc-wrong-field,103.5290,0.5000
tw-wrong-char,57.9142,0.2727
bc-wrong-field,103.5290,0.5000
tw-wrong-char,57.9142,0.2727
bc-wrong-field,105.9813,0.4500
tw-wrong-char,53.6945,0.2000
bc-wrong-field,99.9813,0.4500
tw-wrong-char,53.6945,0.2000
bc-wrong-field,96.0959,0.5238
tw-wrong-char,53.1704,0.2857
bc-wrong-field,96.0959,0.5238
tw-wrong-char,53.1704,0.2857
bc-wrong-field,101.1786,0.4762
tw-wrong-char,78.6510,0.3810
bc-wrong-field,95.1786,0.4762
tw-wrong-char,78.6510,0.3810
bc-wrong-field,128.1304,0.5238
tw-wrong-char,116.9003,0.4762
bc-wrong-field,128.1304,0.5238
tw-wrong-char,116.9003,0.4762
bc-wrong-field,104.3221,0.4762
tw-wrong-char,86.8510,0.3810
bc-wrong-field,104.3221,0.4762
tw-wrong-char,86.8510,0.3810
bc-wrong-field,106.4117,0.5000
tw-wrong-char,74.9573,0.3636
bc-wrong-field,100.4117,0.5000
tw-wrong-char,74.9573,0.3636
bc-wrong-field,102.3960,0.5000
tw-wrong-char,93.4691,0.4545
bc-wrong-field,102.3960,0.5000
tw-wrong-char,93.4691,0.4545
bc-wrong-field,104.8074,0.4500
tw-wrong-char,87.0154,0.4000
bc-wrong-field,98.8074,0.4500
tw-wrong-char,87.0154,0.4000
bc-wrong-field,108.2414,0.5238
tw-wrong-char,96.4494,0.4762
bc-wrong-field,108.2414,0.5238
tw-wrong-char,96.4494,0.4762
bc-wrong-field,102.0758,0.5000
tw-wrong-char,96.0758,0.5000
bc-wrong-field,96.0758,0.5000
tw-wrong-char,96.0758,0.5000
bc-wrong-field,102.7687,0.5238
tw-wrong-char,90.9768,0.4762
bc-wrong-field,108.7687,0.5238
tw-wrong-char,90.9768,0.4762
bc-wrong-field,86.6025,0.4500
tw-wrong-char,74.8105,0.4000
bc-wrong-field,86.6025,0.4500
tw-wrong-char,74.8105,0.4000
bc-wrong-field,115.4635,0.5000
tw-wrong-char,103.6715,0.4545
bc-wrong-field,121.4635,0.5000
tw-wrong-char,103.6715,0.4545
bc-wrong-field,118.8639,0.5000
tw-wrong-char,101.0719,0.4545
bc-wrong-field,112.8639,0.5000
tw-wrong-char,101.0719,0.4545
bc-wrong-field,113.9265,0.5238
tw-wrong-char,49.5766,0.1905
bc-wrong-field,119.9265,0.5238
tw-wrong-char,49.5766,0.1905
bc-wrong-field,110.6246,0.5000
tw-wrong-char,101.6977,0.4545
bc-wrong-field,110.6246,0.5000
tw-wrong-char,101.6977,0.4545
bc-wrong-field,106.8223,0.5238
tw-wrong-char,60.5355,0.2857
bc-wrong-field,106.8223,0.5238
tw-wrong-char,60.5355,0.2857
bc-wrong-field,115.4874,0.5217
tw-wrong-char,63.8386,0.2609
bc-wrong-field,115.4874,0.5217
tw-wrong-char,63.8386,0.2609
bc-wrong-field,113.2990,0.5455
tw-wrong-char,78.5920,0.3636
bc-wrong-field,113.2990,0.5455
tw-wrong-char,78.5920,0.3636
bc-wrong-field,99.5060,0.4762
tw-wrong-char,82.5641,0.3810
bc-wrong-field,99.5060,0.4762
tw-wrong-char,82.5641,0.3810
bc-wrong-field,112.2360,0.5217
tw-wrong-char,112.2360,0.5217
bc-wrong-field,112.2360,0.5217
tw-wrong-char,112.2360,0.5217
bc-wrong-field,132.6310,0.5217
tw-wrong-char,126.6310,0.5217
bc-wrong-field,126.6310,0.5217
tw-wrong-char,126.6310,0.5217
bc-wrong-field,114.0299,0.5455
tw-wrong-char,79.3229,0.3636
bc-wrong-field,114.0299,0.5455
tw-wrong-char,79.3229,0.3636
bc-wrong-field,115.1474,0.5217
tw-wrong-char,115.1474,0.5217
bc-wrong-field,115.1474,0.5217
tw-wrong-char,115.1474,0.5217
bc-wrong-field,115.1816,0.5455
tw-wrong-char,74.3503,0.3636
bc-wrong-field,109.1816,0.5455
tw-wrong-char,74.3503,0.3636
bc-wrong-field,116.9154,0.5217
tw-wrong-char,116.9154,0.5217
bc-wrong-field,116.9154,0.5217
tw-wrong-char,116.9154,0.5217
bc-wrong-field,116.3949,0.5217
tw-wrong-char,116.3949,0.5217
bc-wrong-field,116.3949,0.5217
tw-wrong-char,116.3949,0.5217
