class,form,shared,delta_E
11.a,11.2.a.a,24,-92.83
14.a,14.2.a.a,23,-59.18
15.a,15.2.a.a,23,-61.70
17.a,17.2.a.a,24,-70.41
19.a,19.2.a.a,24,-79.75
20.a,20.2.a.a,23,-61.09
21.a,21.2.a.a,23,-62.92
24.a,24.2.a.a,23,-61.80
26.a,26.2.a.a,23,-69.77
26.b,26.2.a.b,23,-80.63
27.a,27.2.a.a,24,-84.85
30.a,30.2.a.a,22,-46.32
32.a,32.2.a.a,24,-76.66
33.a,33.2.a.a,23,-62.58
34.a,34.2.a.a,23,-60.83
35.a,35.2.a.a,23,-72.48
36.a,36.2.a.a,23,-65.28
37.a,37.2.a.a,24,-98.86
37.b,37.2.a.b,24,-81.06
38.a,38.2.a.a,23,-74.13
38.b,38.2.a.b,23,-82.16
39.a,39.2.a.a,23,-63.68
40.a,40.2.a.a,23,-64.50
42.a,42.2.a.a,22,-53.95
43.a,43.2.a.a,24,-99.99
44.a,44.2.a.a,23,-80.25
45.a,45.2.a.a,23,-62.15
46.a,46.2.a.a,23,-72.27
48.a,48.2.a.a,23,-61.70
49.a,49.2.a.a,24,-78.93
50.a,50.2.a.a,23,-72.34
50.b,50.2.a.b,23,-74.33
51.a,51.2.a.a,23,-73.19
52.a,52.2.a.a,23,-71.34
53.a,53.2.a.a,24,-100.81
54.a,54.2.a.a,23,-76.08
54.b,54.2.a.b,23,-76.61
55.a,55.2.a.a,23,-64.78
56.a,56.2.a.a,23,-64.69
56.b,56.2.a.b,23,-71.07
57.a,57.2.a.a,23,-80.60
57.b,57.2.a.b,23,-77.36
57.c,57.2.a.c,23,-64.49
58.a,58.2.a.a,23,-89.49
58.b,58.2.a.b,23,-85.60
61.a,61.2.a.a,24,-92.70
62.a,62.2.a.a,23,-64.08
63.a,63.2.a.a,23,-63.52
64.a,64.2.a.a,24,-77.46
65.a,65.2.a.a,23,-73.42
66.a,66.2.a.a,22,-54.69
66.b,66.2.a.b,22,-57.18
66.c,66.2.a.c,22,-61.85
67.a,67.2.a.a,24,-96.61
69.a,69.2.a.a,23,-72.45
70.a,70.2.a.a,22,-58.19
72.a,72.2.a.a,23,-61.37
73.a,73.2.a.a,24,-79.81
75.a,75.2.a.a,23,-87.44
75.b,75.2.a.b,23,-62.04
75.c,75.2.a.c,23,-86.63
76.a,76.2.a.a,23,-83.55
77.a,77.2.a.a,23,-84.66
77.b,77.2.a.b,23,-73.67
77.c,77.2.a.c,23,-78.05
78.a,78.2.a.a,22,-58.72
79.a,79.2.a.a,24,-92.74
80.a,80.2.a.a,23,-64.26
80.b,80.2.a.b,23,-63.15
82.a,82.2.a.a,23,-76.88
83.a,83.2.a.a,24,-95.00
84.a,84.2.a.a,22,-63.89
84.b,84.2.a.b,22,-54.89
85.a,85.2.a.a,23,-71.32
88.a,88.2.a.a,23,-93.04
89.a,89.2.a.a,24,-92.96
89.b,89.2.a.b,24,-85.56
90.a,90.2.a.a,22,-52.55
90.b,90.2.a.b,22,-52.33
90.c,90.2.a.c,22,-46.24
91.a,91.2.a.a,23,-93.49
91.b,91.2.a.b,23,-79.82
92.a,92.2.a.a,23,-90.59
92.b,92.2.a.b,23,-73.30
94.a,94.2.a.a,23,-69.23
96.a,96.2.a.a,23,-66.08
96.b,96.2.a.b,23,-66.93
98.a,98.2.a.a,23,-61.51
99.a,99.2.a.a,23,-66.78
99.b,99.2.a.b,23,-63.30
99.c,99.2.a.c,23,-67.02
99.d,99.2.a.d,23,-83.99
100.a,100.2.a.a,23,-63.40
101.a,101.2.a.a,25,-109.16
102.a,102.2.a.a,22,-64.96
102.b,102.2.a.b,22,-55.15
102.c,102.2.a.c,22,-53.31
104.a,104.2.a.a,23,-84.89
105.a,105.2.a.a,22,-55.39
106.a,106.2.a.a,23,-86.92
106.b,106.2.a.b,23,-93.89
106.c,106.2.a.c,23,-80.38
106.d,106.2.a.d,23,-79.96
108.a,108.2.a.a,23,-80.47
109.a,109.2.a.a,25,-108.81
110.a,110.2.a.a,22,-71.13
110.b,110.2.a.b,22,-78.89
110.c,110.2.a.c,22,-69.01
112.a,112.2.a.a,23,-70.31
112.b,112.2.a.b,23,-65.52
112.c,112.2.a.c,23,-60.29
113.a,113.2.a.a,25,-89.29
114.a,114.2.a.a,22,-69.18
114.b,114.2.a.b,22,-57.66
114.c,114.2.a.c,22,-52.99
115.a,115.2.a.a,23,-92.19
116.a,116.2.a.a,23,-92.28
116.b,116.2.a.b,23,-79.03
116.c,116.2.a.c,23,-77.56
117.a,117.2.a.a,23,-63.29
118.a,118.2.a.a,23,-97.92
118.b,118.2.a.b,23,-89.52
118.c,118.2.a.c,23,-83.15
118.d,118.2.a.d,23,-92.86
120.a,120.2.a.a,22,-56.28
120.b,120.2.a.b,22,-54.61
121.a,121.2.a.a,24,-94.80
121.b,121.2.a.b,24,-92.38
121.c,121.2.a.c,24,-95.21
121.d,121.2.a.d,24,-92.80
122.a,122.2.a.a,23,-87.66
123.a,123.2.a.a,23,-85.38
123.b,123.2.a.b,23,-92.99
124.a,124.2.a.a,23,-72.87
124.b,124.2.a.b,23,-80.86
126.a,126.2.a.a,22,-53.57
126.b,126.2.a.b,22,-48.65
128.a,128.2.a.a,24,-81.37
128.b,128.2.a.b,24,-81.80
128.c,128.2.a.c,24,-81.89
128.d,128.2.a.d,24,-82.25
129.a,129.2.a.a,23,-91.98
129.b,129.2.a.b,23,-65.29
130.a,130.2.a.a,22,-55.19
130.b,130.2.a.b,22,-55.19
130.c,130.2.a.c,22,-66.08
131.a,131.2.a.a,25,-113.08
132.a,132.2.a.a,22,-63.71
132.b,132.2.a.b,22,-66.77
135.a,135.2.a.a,23,-93.06
135.b,135.2.a.b,23,-93.41
136.a,136.2.a.a,23,-74.18
136.b,136.2.a.b,23,-71.08
138.a,138.2.a.a,22,-64.05
138.b,138.2.a.b,22,-53.39
138.c,138.2.a.c,22,-57.39
139.a,139.2.a.a,25,-112.73
140.a,140.2.a.a,22,-65.03
140.b,140.2.a.b,22,-79.56
141.a,141.2.a.a,23,-83.92
141.b,141.2.a.b,23,-71.50
141.c,141.2.a.c,23,-66.61
141.d,141.2.a.d,23,-84.87
141.e,141.2.a.e,23,-87.55
142.a,142.2.a.a,23,-85.36
142.b,142.2.a.b,23,-71.64
142.c,142.2.a.c,23,-84.88
142.d,142.2.a.d,23,-90.60
142.e,142.2.a.e,23,-70.07
143.a,143.2.a.a,23,-85.81
144.a,144.2.a.a,23,-66.35
144.b,144.2.a.b,23,-62.52
145.a,145.2.a.a,23,-71.91
147.a,147.2.a.a,23,-63.18
147.b,147.2.a.b,23,-86.55
147.c,147.2.a.c,23,-88.09
148.a,148.2.a.a,23,-83.88
150.a,150.2.a.a,22,-58.13
150.b,150.2.a.b,22,-47.79
150.c,150.2.a.c,22,-57.89
152.a,152.2.a.a,23,-86.05
152.b,152.2.a.b,23,-87.16
153.a,153.2.a.a,23,-80.87
153.b,153.2.a.b,23,-72.86
153.c,153.2.a.c,23,-61.45
153.d,153.2.a.d,23,-81.55
154.a,154.2.a.a,22,-63.31
154.b,154.2.a.b,22,-67.81
154.c,154.2.a.c,22,-54.60
155.a,155.2.a.a,23,-89.30
155.b,155.2.a.b,23,-76.16
155.c,155.2.a.c,23,-88.54
156.a,156.2.a.a,22,-67.07
156.b,156.2.a.b,22,-52.64
158.a,158.2.a.a,23,-85.38
158.b,158.2.a.b,23,-77.49
158.c,158.2.a.c,23,-88.31
158.d,158.2.a.d,23,-79.72
158.e,158.2.a.e,23,-73.76
160.a,160.2.a.a,23,-74.16
160.b,160.2.a.b,23,-74.38
161.a,161.2.a.a,23,-64.35
162.a,162.2.a.a,23,-69.53
162.b,162.2.a.b,23,-74.15
162.c,162.2.a.c,23,-74.76
162.d,162.2.a.d,23,-70.21
163.a,163.2.a.a,25,-113.47
166.a,166.2.a.a,23,-85.03
168.a,168.2.a.a,22,-58.53
168.b,168.2.a.b,22,-55.29
170.a,170.2.a.a,22,-54.27
170.b,170.2.a.b,22,-64.38
170.c,170.2.a.c,22,-71.81
170.d,170.2.a.d,22,-86.64
170.e,170.2.a.e,22,-70.28
171.a,171.2.a.a,23,-64.68
171.b,171.2.a.b,23,-68.24
171.c,171.2.a.c,23,-78.41
171.d,171.2.a.d,23,-81.19
172.a,172.2.a.a,23,-77.90
174.a,174.2.a.a,22,-80.05
174.b,174.2.a.b,22,-65.53
174.c,174.2.a.c,22,-57.62
174.d,174.2.a.d,22,-78.90
174.e,174.2.a.e,22,-70.15
175.a,175.2.a.a,23,-75.85
175.b,175.2.a.b,23,-73.58
175.c,175.2.a.c,23,-78.09
176.a,176.2.a.a,23,-80.69
176.b,176.2.a.b,23,-81.67
176.c,176.2.a.c,23,-92.70
178.a,178.2.a.a,23,-72.29
178.b,178.2.a.b,23,-74.76
179.a,179.2.a.a,25,-112.12
180.a,180.2.a.a,22,-50.41
182.a,182.2.a.a,22,-85.72
182.b,182.2.a.b,22,-86.61
182.c,182.2.a.c,22,-55.81
182.d,182.2.a.d,22,-69.50
182.e,182.2.a.e,22,-85.87
184.a,184.2.a.a,23,-84.92
184.b,184.2.a.b,23,-88.68
184.c,184.2.a.c,23,-76.57
184.d,184.2.a.d,23,-88.96
185.a,185.2.a.a,23,-91.81
185.b,185.2.a.b,23,-86.47
185.c,185.2.a.c,23,-73.30
186.a,186.2.a.a,22,-81.46
186.b,186.2.a.b,22,-83.51
186.c,186.2.a.c,22,-76.45
187.a,187.2.a.a,23,-77.58
187.b,187.2.a.b,23,-88.14
189.a,189.2.a.a,23,-88.47
189.b,189.2.a.b,23,-70.00
189.c,189.2.a.c,23,-70.63
189.d,189.2.a.d,23,-89.17
190.a,190.2.a.a,22,-76.93
190.b,190.2.a.b,22,-78.94
190.c,190.2.a.c,22,-64.97
192.a,192.2.a.a,23,-66.04
192.b,192.2.a.b,23,-60.76
192.c,192.2.a.c,23,-65.51
192.d,192.2.a.d,23,-61.59
194.a,194.2.a.a,23,-70.14
195.a,195.2.a.a,22,-53.94
195.b,195.2.a.b,22,-84.62
195.c,195.2.a.c,22,-84.95
195.d,195.2.a.d,22,-84.73
196.a,196.2.a.a,23,-81.70
196.b,196.2.a.b,23,-79.97
197.a,197.2.a.a,25,-116.14
198.a,198.2.a.a,22,-56.87
198.b,198.2.a.b,22,-54.71
198.c,198.2.a.c,22,-62.52
198.d,198.2.a.d,22,-54.29
198.e,198.2.a.e,22,-54.73
200.a,200.2.a.a,23,-91.44
200.b,200.2.a.b,23,-77.20
200.c,200.2.a.c,23,-64.42
200.d,200.2.a.d,23,-80.03
200.e,200.2.a.e,23,-91.86
201.a,201.2.a.a,23,-84.64
201.b,201.2.a.b,23,-88.53
201.c,201.2.a.c,23,-89.59
202.a,202.2.a.a,24,-97.61
203.a,203.2.a.a,23,-89.33
203.b,203.2.a.b,23,-85.91
203.c,203.2.a.c,23,-75.69
204.a,204.2.a.a,22,-75.81
204.b,204.2.a.b,22,-72.39
205.a,205.2.a.a,23,-62.84
205.b,205.2.a.b,23,-74.89
205.c,205.2.a.c,23,-73.40
206.a,206.2.a.a,24,-80.48
207.a,207.2.a.a,23,-71.15
208.a,208.2.a.a,23,-70.26
208.b,208.2.a.b,23,-84.06
208.c,208.2.a.c,23,-70.59
208.d,208.2.a.d,23,-79.36
