label,class,cond,abs_disc,eqn,bad_lfactors,is_gl2_type,end_alg,geom_end_alg,st_group,Lhash,sealed
169.a.169.1,169.a,169,169,"""[[0,0,0,0,1,1],[1,1,0,1]]""","""[[13,[1,5,13]]]""",True,CM,M_2(Q),E_6,1456780685049277288,0
196.a.21952.1,196.a,196,21952,"""[[1,3,6,7,6,3,1],[0,1,1]]""","""[[2,[1,2,1]],[7,[1,-2,1]]]""",False,M_2(Q),M_2(Q),E_1,613994882430202077,0
249.a.249.1,249.a,249,249,"""[[0,1,1],[1,0,0,1]]""","""[[3,[1,2,0,-3]],[83,[1,-1,83,-83]]]""",False,Q,Q,USp(4),1229180703233001291,0
249.a.6723.1,249.a,249,6723,"""[[2,3,1,1,0,-1],[1,0,0,1]]""","""[[3,[1,2,0,-3]],[83,[1,-1,83,-83]]]""",False,Q,Q,USp(4),1229180703233001291,0
256.a.512.1,256.a,256,512,"""[[0,-1,1,1,-3,2],[1]]""","""[[2,[1,2,2]]]""",True,CM,M_2(Q),E_4,2023392088972236524,0
277.a.277.1,277.a,277,277,"""[[0,-1,-1],[1,1,1,1]]""","""[[277,[1,-7,269,277]]]""",False,Q,Q,USp(4),639653774064676620,0
277.a.277.2,277.a,277,277,"""[[-6,11,-19,14,-9,1],[1]]""","""[[277,[1,-7,269,277]]]""",False,Q,Q,USp(4),639653774064676620,0
294.a.294.1,294.a,294,294,"""[[0,0,1,0,1],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,1,1,-3]],[7,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),315995603033814010,0
294.a.8232.1,294.a,294,8232,"""[[-14,-9,4,0,-2],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,1,1,-3]],[7,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),315995603033814010,0
295.a.295.1,295.a,295,295,"""[[0,0,-1],[1,0,0,1]]""","""[[5,[1,2,6,5]],[59,[1,-3,55,59]]]""",False,Q,Q,USp(4),1445678309922023239,0
295.a.295.2,295.a,295,295,"""[[-608,389,22,-40,0,1],[1,1,1]]""","""[[5,[1,2,6,5]],[59,[1,-3,55,59]]]""",False,Q,Q,USp(4),1445678309922023239,0
324.a.648.1,324.a,324,648,"""[[0,0,1,2,2,1],[1,1,0,1]]""","""[[2,[1,1,1]],[3,[1,3,3]]]""",True,CM,M_2(Q),E_3,1709198346480436726,0
336.a.172032.1,336.a,336,172032,"""[[-56,0,-75,0,15,0,-1],[0,1,0,1]]""","""[[2,[1,1]],[3,[1,3,5,3]],[7,[1,-1,7,-7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),60554601871821384,0
349.a.349.1,349.a,349,349,"""[[0,0,-1,-1],[1,1,1,1]]""","""[[349,[1,-11,337,349]]]""",False,Q,Q,USp(4),270569359746706556,0
353.a.353.1,353.a,353,353,"""[[0,0,1],[1,1,0,1]]""","""[[353,[1,10,362,353]]]""",False,Q,Q,USp(4),1325289956928886660,0
360.a.6480.1,360.a,360,6480,"""[[-5,0,7,0,-3],[0,1,0,1]]""","""[[2,[1,1,2]],[3,[1,2,1]],[5,[1,1,3,-5]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1656771274761252812,0
363.a.11979.1,363.a,363,11979,"""[[0,2,4,2,0,1],[1,0,1]]""","""[[3,[1,2,4,3]],[11,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1338090095012731695,0
363.a.43923.1,363.a,363,43923,"""[[-2,1,10,-7,-13,11],[0,0,1]]""","""[[3,[1,2,4,3]],[11,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1338090095012731695,0
388.a.776.1,388.a,388,776,"""[[0,1,2,0,-1],[1,1,0,1]]""","""[[2,[1,1,1]],[97,[1,-13,83,97]]]""",False,Q,Q,USp(4),1336698070319187516,0
389.a.389.1,389.a,389,389,"""[[7,16,0,-8,-2,1],[0,1,0,1]]""","""[[389,[1,11,399,389]]]""",False,Q,Q,USp(4),2172656349009168506,0
389.a.389.2,389.a,389,389,"""[[0,0,1,2,2,1],[1,1]]""","""[[389,[1,11,399,389]]]""",False,Q,Q,USp(4),2172656349009168506,0
394.a.3152.1,394.a,394,3152,"""[[0,0,0,0,0,-1],[1,1]]""","""[[2,[1,1,0,-2]],[197,[1,-19,215,-197]]]""",False,Q,Q,USp(4),1445475659822937675,0
394.a.394.1,394.a,394,394,"""[[-9,17,0,-12,1,2],[0,1,0,1]]""","""[[2,[1,1,0,-2]],[197,[1,-19,215,-197]]]""",False,Q,Q,USp(4),1445475659822937675,0
400.a.409600.1,400.a,400,409600,"""[[1,0,4,0,4,0,1],[]]""","""[[2,[1]],[5,[1,2,1]]]""",False,M_2(Q),M_2(Q),E_1,25792812462041176,0
427.a.2989.1,427.a,427,2989,"""[[-4,4,4,-5,-1,1],[1,0,0,1]]""","""[[7,[1,0,6,7]],[61,[1,9,69,61]]]""",False,Q,Q,USp(4),417079324919295763,0
448.a.448.1,448.a,448,448,"""[[-7,0,0,0,1],[0,1,0,1]]""","""[[2,[1,1]],[7,[1,-1,7,-7]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),639284731750073843,0
448.a.448.2,448.a,448,448,"""[[7,0,0,0,-2],[0,1,0,1]]""","""[[2,[1,1]],[7,[1,-1,7,-7]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),639284731750073843,0
450.a.2700.1,450.a,450,2700,"""[[0,1,3,3,3,1],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,0,-1]],[5,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),898745104469034071,0
450.a.36450.1,450.a,450,36450,"""[[-16,-6,28,-9,-4,1],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,0,-1]],[5,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),898745104469034071,0
461.a.461.1,461.a,461,461,"""[[-2,3,0,-3,0,1],[0,0,0,1]]""","""[[461,[1,1,461,461]]]""",False,Q,Q,USp(4),2294054356344303861,0
461.a.461.2,461.a,461,461,"""[[-306,272,10,-39,-1,1],[1]]""","""[[461,[1,1,461,461]]]""",False,Q,Q,USp(4),2294054356344303861,0
464.a.29696.1,464.a,464,29696,"""[[0,0,-2,-4,3,8],[1,1]]""","""[[2,[1,1,2]],[29,[1,3,31,29]]]""",False,Q,Q,USp(4),1539865513156672146,0
464.a.29696.2,464.a,464,29696,"""[[0,1,16,72,33,4],[0,1]]""","""[[2,[1,1,2]],[29,[1,3,31,29]]]""",False,Q,Q,USp(4),1539865513156672146,0
464.a.464.1,464.a,464,464,"""[[0,0,0,-1,-2,-2,-1],[1,1]]""","""[[2,[1,1,2]],[29,[1,3,31,29]]]""",False,Q,Q,USp(4),1539865513156672146,0
472.a.60416.1,472.a,472,60416,"""[[0,0,2,4,5,8],[1,1]]""","""[[2,[1,1,2]],[59,[1,-11,47,59]]]""",False,Q,Q,USp(4),1886010138829170898,0
472.a.944.1,472.a,472,944,"""[[0,1,0,-2,-1,1],[1,0,1]]""","""[[2,[1,1,2]],[59,[1,-11,47,59]]]""",False,Q,Q,USp(4),1886010138829170898,0
476.a.952.1,476.a,476,952,"""[[54,-75,25,7,-5],[1,0,0,1]]""","""[[2,[1,0,-1]],[7,[1,3,3,-7]],[17,[1,-5,11,17]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1400883143290220004,0
484.a.1936.1,484.a,484,1936,"""[[0,0,1,0,2,0,1],[1]]""","""[[2,[1,2,2]],[11,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2114186068369783362,0
504.a.27216.1,504.a,504,27216,"""[[21,0,15,0,3],[0,1,0,1]]""","""[[2,[1,1,2]],[3,[1,0,-1]],[7,[1,1,7,7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2068398331689127268,0
523.a.523.1,523.a,523,523,"""[[0,0,0,-1,-1,1],[1,1]]""","""[[523,[1,-23,499,523]]]""",False,Q,Q,USp(4),1254137218410387728,0
523.a.523.2,523.a,523,523,"""[[0,-1,21,-110,-31,1],[0,1]]""","""[[523,[1,-23,499,523]]]""",False,Q,Q,USp(4),1254137218410387728,0
529.a.529.1,529.a,529,529,"""[[0,0,0,0,0,-1],[1,1,0,1]]""","""[[23,[1,-2,1]]]""",True,RM,RM,SU(2)xSU(2),1804802565588895238,0
555.a.8325.1,555.a,555,8325,"""[[0,1,1,-4,-2,3],[1,1]]""","""[[3,[1,0,2,-3]],[5,[1,3,1,-5]],[37,[1,3,39,37]]]""",False,Q,Q,USp(4),1166985675164935359,0
574.a.293888.1,574.a,574,293888,"""[[1,1,-3,0,-1,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[7,[1,1,5,-7]],[41,[1,-1,39,41]]]""",False,Q,Q,USp(4),1146119130581588304,0
576.a.576.1,576.a,576,576,"""[[0,-1,0,-1],[1,1,1,1]]""","""[[2,[1,2,2]],[3,[1,0,1]]]""",True,CM,M_2(Q),E_2,701482280995662430,0
576.b.147456.1,576.b,576,147456,"""[[1,0,2,0,2,0,1],[]]""","""[[2,[1]],[3,[1,2,1]]]""",False,M_2(Q),M_2(Q),E_1,1812957330527134642,0
578.a.2312.1,578.a,578,2312,"""[[0,1,-2,2,-2,1],[0,1,1]]""","""[[2,[1,0,1,-2]],[17,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),197005245984506301,0
587.a.587.1,587.a,587,587,"""[[0,-1,-1],[1,1,0,1]]""","""[[587,[1,35,551,-587]]]""",False,Q,Q,USp(4),1656984838245688172,0
588.a.18816.1,588.a,588,18816,"""[[8,12,5,0,1,1],[1,0,0,1]]""","""[[2,[1,0,-1]],[3,[1,3,5,3]],[7,[1,0,-1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),765871431780445570,0
597.a.597.1,597.a,597,597,"""[[0,1,2,3,2,1],[1]]""","""[[3,[1,2,0,-3]],[199,[1,-5,203,-199]]]""",False,Q,Q,USp(4),445445766581223123,0
600.a.18000.1,600.a,600,18000,"""[[0,-1,1,8,-18,10],[0,1]]""","""[[2,[1,1]],[3,[1,1,1,-3]],[5,[1,2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),161348901202369168,0
600.a.96000.1,600.a,600,96000,"""[[0,0,2,3,5,4],[1,1]]""","""[[2,[1,1]],[3,[1,1,1,-3]],[5,[1,2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),161348901202369168,0
600.b.30000.1,600.b,600,30000,"""[[-3,0,1,0,1],[0,1,0,1]]""","""[[2,[1,1,2]],[3,[1,1,3,3]],[5,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1467175788107318733,0
600.b.450000.1,600.b,600,450000,"""[[-45,0,25,0,-5],[0,1,0,1]]""","""[[2,[1,1,2]],[3,[1,1,3,3]],[5,[1,-2,1]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1467175788107318733,0
603.a.603.1,603.a,603,603,"""[[0,2,4,4,8,1],[1,0,1]]""","""[[3,[1,0,1]],[67,[1,-7,59,67]]]""",False,Q,Q,USp(4),1803984185390222566,0
603.a.603.2,603.a,603,603,"""[[0,1,0,-1,0,1],[1,0,1]]""","""[[3,[1,0,1]],[67,[1,-7,59,67]]]""",False,Q,Q,USp(4),1803984185390222566,0
604.a.9664.1,604.a,604,9664,"""[[-21,-53,-4,48,9,4],[1,1,1]]""","""[[2,[1,0,-1]],[151,[1,9,141,-151]]]""",False,Q,Q,USp(4),84410224055534154,0
604.a.9664.2,604.a,604,9664,"""[[0,-1,1,1,-1],[1,0,0,1]]""","""[[2,[1,0,-1]],[151,[1,9,141,-151]]]""",False,Q,Q,USp(4),84410224055534154,0
630.a.34020.1,630.a,630,34020,"""[[15,-6,-23,0,10,3],[0,1,1]]""","""[[2,[1,0,1,-2]],[3,[1,2,1]],[5,[1,1,3,-5]],[7,[1,1,7,7]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),56245095456183047,0
640.a.81920.1,640.a,640,81920,"""[[20,0,13,0,3],[0,0,0,1]]""","""[[2,[1]],[5,[1,3,7,5]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),1498105201372840368,0
640.a.81920.2,640.a,640,81920,"""[[-20,0,13,0,-3],[0,0,0,1]]""","""[[2,[1]],[5,[1,3,7,5]]]""",True,Q x Q,CM x Q,N(U(1)xSU(2)),1498105201372840368,0
644.a.2576.1,644.a,644,2576,"""[[-5,11,-20,20,-20,11,-5],[0,1,1]]""","""[[2,[1,2,1]],[7,[1,3,3,-7]],[23,[1,-1,23,-23]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),2213652731988948920,0
