cond,class,euler_factors,sealed
169,169.a,null,0
196,196.a,null,0
249,249.a,null,0
256,256.a,null,0
277,277.a,null,0
294,294.a,null,0
295,295.a,null,0
324,324.a,null,0
336,336.a,null,0
349,349.a,null,0
353,353.a,null,0
360,360.a,null,0
363,363.a,null,0
388,388.a,null,0
389,389.a,null,0
394,394.a,null,0
400,400.a,null,0
427,427.a,null,0
448,448.a,null,0
450,450.a,null,0
461,461.a,null,0
464,464.a,null,0
472,472.a,null,0
476,476.a,null,0
484,484.a,null,0
504,504.a,null,0
523,523.a,null,0
529,529.a,null,0
555,555.a,null,0
574,574.a,null,0
576,576.a,null,0
576,576.b,null,0
578,578.a,null,0
587,587.a,null,0
588,588.a,null,0
597,597.a,null,0
600,600.a,null,0
600,600.b,null,0
603,603.a,null,0
604,604.a,null,0
630,630.a,null,0
640,640.a,null,0
644,644.a,null,0
644,644.b,null,0
672,672.a,null,0
676,676.a,null,0
676,676.b,null,0
686,686.a,null,0
688,688.a,null,0
691,691.a,null,0
704,704.a,null,0
708,708.a,null,0
709,709.a,null,0
713,713.a,null,0
713,713.b,null,0
720,720.a,null,0
720,720.b,null,0
726,726.a,null,0
731,731.a,null,0
741,741.a,null,0
743,743.a,null,0
745,745.a,null,0
762,762.a,null,0
763,763.a,null,0
768,768.a,null,0
784,784.a,null,0
784,784.b,null,0
784,784.c,null,0
797,797.a,null,0
800,800.a,null,0
807,807.a,null,0
810,810.a,null,0
816,816.a,null,0
816,816.b,null,0
826,826.a,null,0
830,830.a,null,0
832,832.a,null,0
834,834.a,null,0
841,841.a,null,0
847,847.a,null,0
847,847.b,null,0
847,847.c,null,0
847,847.d,null,0
856,856.a,null,0
862,862.a,null,0
862,862.b,null,0
864,864.a,null,0
880,880.a,null,0
882,882.a,null,0
886,886.a,null,0
893,893.a,null,0
909,909.a,null,0
925,925.a,null,0
930,930.a,null,0
932,932.a,null,0
936,936.a,null,0
953,953.a,null,0
960,960.a,null,0
961,961.a,null,0
966,966.a,null,0
968,968.a,null,0
970,970.a,null,0
971,971.a,null,0
975,975.a,null,0
976,976.a,null,0
980,980.a,null,0
990,990.a,null,0
997,997.a,null,0
997,997.b,null,0
1008,1008.a,null,0
1012,1012.a,null,0
1038,1038.a,null,0
1042,1042.a,null,0
1047,1047.a,null,0
1050,1050.a,null,0
1051,1051.a,null,0
1051,1051.b,null,0
1055,1055.a,null,0
1062,1062.a,null,0
1069,1069.a,null,0
1070,1070.a,null,0
1077,1077.a,null,0
1077,1077.b,null,0
1083,1083.a,null,0
1083,1083.b,null,0
1088,1088.a,null,0
1088,1088.b,null,0
1091,1091.a,null,0
1094,1094.a,null,0
1104,1104.a,null,0
1104,1104.b,null,0
1109,1109.a,null,0
1109,1109.b,null,0
1109,1109.c,null,0
1116,1116.a,null,0
1122,1122.a,null,0
1122,1122.b,null,0
1123,1123.a,null,0
1125,1125.a,null,0
1127,1127.a,null,0
1136,1136.a,null,0
1137,1137.a,null,0
1142,1142.a,null,0
1142,1142.b,null,0
1145,1145.a,null,0
1146,1146.a,null,0
1147,1147.a,null,0
1148,1148.a,null,0
1152,1152.a,null,0
1164,1164.a,null,0
1164,1164.b,null,0
1170,1170.a,null,0
1176,1176.a,null,0
1176,1176.b,null,0
1180,1180.a,null,0
1184,1184.a,null,0
1192,1192.a,null,0
1197,1197.a,null,0
1198,1198.a,null,0
1200,1200.a,null,0
1205,1205.a,null,0
1207,1207.a,null,0
1210,1210.a,null,0
1216,1216.a,null,0
1225,1225.a,null,0
1231,1231.a,null,0
1239,1239.a,null,0
1253,1253.a,null,0
1253,1253.b,null,0
1258,1258.a,null,0
1269,1269.a,null,0
1269,1269.b,null,0
1270,1270.a,null,0
1272,1272.a,null,0
1280,1280.a,null,0
1284,1284.a,null,0
1285,1285.a,null,0
1296,1296.a,null,0
1300,1300.a,null,0
1309,1309.a,null,0
1311,1311.a,null,0
1312,1312.a,null,0
1312,1312.b,null,0
1312,1312.c,null,0
1320,1320.a,null,0
1327,1327.a,null,0
1328,1328.a,null,0
1331,1331.a,null,0
1333,1333.a,null,0
1338,1338.a,null,0
1338,1338.b,null,0
1343,1343.a,null,0
1343,1343.b,null,0
1344,1344.a,null,0
1344,1344.b,null,0
1345,1345.a,null,0
1350,1350.a,null,0
1350,1350.b,null,0
1350,1350.c,null,0
1369,1369.a,null,0
1376,1376.a,null,0
1376,1376.b,null,0
1377,1377.a,null,0
1383,1383.a,null,0
1385,1385.a,null,0
1386,1386.a,null,0
1397,1397.a,null,0
1403,1403.a,null,0
1408,1408.a,null,0
1408,1408.b,null,0
1415,1415.a,null,0
1416,1416.a,null,0
1416,1416.b,null,0
1440,1440.a,null,0
1444,1444.a,null,0
1444,1444.b,null,0
1445,1445.a,null,0
1460,1460.a,null,0
1462,1462.a,null,0
1468,1468.a,null,0
1468,1468.b,null,0
1470,1470.a,null,0
1472,1472.a,null,0
1473,1473.a,null,0
1488,1488.a,null,0
1490,1490.a,null,0
1497,1497.a,null,0
1497,1497.b,null,0
1499,1499.a,null,0
1503,1503.a,null,0
1519,1519.a,null,0
1521,1521.a,null,0
1524,1524.a,null,0
1532,1532.a,null,0
1534,1534.a,null,0
1536,1536.a,null,0
1536,1536.b,null,0
1536,1536.c,null,0
1544,1544.a,null,0
1549,1549.a,null,0
1560,1560.a,null,0
1564,1564.a,null,0
1568,1568.a,null,0
1568,1568.b,null,0
1573,1573.a,null,0
1573,1573.b,null,0
1575,1575.a,null,0
1584,1584.a,null,0
1589,1589.a,null,0
1595,1595.a,null,0
1600,1600.a,null,0
1600,1600.b,null,0
1611,1611.a,null,0
1612,1612.a,null,0
1624,1624.a,null,0
1632,1632.a,null,0
1636,1636.a,null,0
1637,1637.a,null,0
1643,1643.a,null,0
1647,1647.a,null,0
1649,1649.a,null,0
1650,1650.a,null,0
1655,1655.a,null,0
1656,1656.a,null,0
1660,1660.a,null,0
1664,1664.a,null,0
1665,1665.a,null,0
1680,1680.a,null,0
1680,1680.b,null,0
1680,1680.c,null,0
1684,1684.a,null,0
1689,1689.a,null,0
1695,1695.a,null,0
1696,1696.a,null,0
1696,1696.b,null,0
1701,1701.a,null,0
1702,1702.a,null,0
1706,1706.a,null,0
1708,1708.a,null,0
1712,1712.a,null,0
1717,1717.a,null,0
1717,1717.b,null,0
1718,1718.a,null,0
1721,1721.a,null,0
1728,1728.a,null,0
1728,1728.b,null,0
1734,1734.a,null,0
1734,1734.b,null,0
1738,1738.a,null,0
1740,1740.a,null,0
1743,1743.a,null,0
1744,1744.a,null,0
1746,1746.a,null,0
1753,1753.a,null,0
1757,1757.a,null,0
1770,1770.a,null,0
1776,1776.a,null,0
1776,1776.b,null,0
1777,1777.a,null,0
1780,1780.a,null,0
1788,1788.a,null,0
1791,1791.a,null,0
1792,1792.a,null,0
1795,1795.a,null,0
1797,1797.a,null,0
1798,1798.a,null,0
1800,1800.a,null,0
1811,1811.a,null,0
1811,1811.b,null,0
1813,1813.a,null,0
1832,1832.a,null,0
1832,1832.b,null,0
1835,1835.a,null,0
1835,1835.b,null,0
