class,E1,E2
1008.a,21.a,48.a
1050.a,15.a,70.a
1083.a,19.a,57.a
1083.b,19.a,57.b
1088.b,32.a,34.a
1104.b,24.a,46.a
1122.a,17.a,66.b
1125.a,15.a,75.c
1152.a,24.a,48.a
1170.a,30.a,39.a
1176.a,21.a,56.a
1176.b,14.a,84.b
1200.a,15.a,80.a
1210.a,11.a,110.b
1300.a,20.a,65.a
1320.a,24.a,55.a
1331.a,11.a,121.b
1344.a,21.a,64.a
1344.b,24.a,56.a
1350.a,15.a,90.b
1350.b,15.a,90.a
1350.c,30.a,45.a
1369.a,37.a,37.b
1386.a,21.a,66.b
1440.a,30.a,48.a
1444.a,38.a,38.b
1444.b,19.a,76.a
1460.a,20.a,73.a
1470.a,21.a,70.a
1536.b,24.a,64.a
1536.c,32.a,48.a
1560.a,39.a,40.a
1564.a,34.a,46.a
1568.a,14.a,112.b
1568.b,14.a,112.a
1573.a,11.a,143.a
1584.a,24.a,66.b
1600.a,20.a,80.a
1600.b,20.a,80.b
1632.a,34.a,48.a
1650.a,30.a,55.a
1680.a,24.a,70.a
1680.c,30.a,56.a
1728.b,36.a,48.a
1734.a,17.a,102.a
1734.b,17.a,102.c
1780.a,20.a,89.b
1800.a,15.a,120.a
1872.a,39.a,48.a
1920.a,40.a,48.a
1936.a,11.a,176.a
1936.b,11.a,176.c
1950.a,15.a,130.b
196.a,14.a,14.a
1988.a,14.a,142.b
2016.a,24.a,84.a
2016.b,24.a,84.b
2028.a,26.a,78.a
2058.a,42.a,49.a
2080.a,32.a,65.a
2156.a,14.a,154.b
2156.b,14.a,154.a
2156.c,14.a,154.c
2166.a,38.b,57.b
2166.b,19.a,114.c
2176.a,34.a,64.a
2178.a,33.a,66.b
2178.b,33.a,66.a
2208.a,46.a,48.a
2250.a,15.a,150.c
2280.a,40.a,57.c
2299.b,11.a,209.a
2304.b,48.a,48.a
2304.c,24.a,96.b
2304.d,24.a,96.a
2312.b,17.a,136.a
2312.c,17.a,136.b
2352.a,21.a,112.b
2352.b,42.a,56.b
2380.a,34.a,70.a
2400.a,20.a,120.b
2430.b,27.a,90.c
2484.a,36.a,69.a
2500.a,50.a,50.b
2520.a,15.a,168.a
2520.c,15.a,168.b
2548.a,14.a,182.b
2592.b,36.a,72.a
